flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 221A,Chinese,#23:1,"$79,200 - $230,500",Important notes
2-room Flexi,Blk 223A,Chinese,#08:1; #09:1,"$79,200 - $230,500",Important notes
2-room Flexi,Blk 221A,Indian/ Other Races,#23:1,"$79,200 - $230,500",Important notes
2-room Flexi,Blk 223A,Indian/ Other Races,#08:1; #09:1,"$79,200 - $230,500",Important notes
4-room,Blk 223A,Chinese,#35:1,"$438,700 - $476,200",Important notes
4-room,Blk 223B,Chinese,#10:1; #35:1,"$438,700 - $476,200",Important notes
4-room,Blk 223A,Indian/ Other Races,#35:1,"$438,700 - $476,200",Important notes
4-room,Blk 223A,Malay,#35:1,"$438,700 - $476,200",Important notes
5-room,Blk 221A,Chinese,#11:1; #28:1,"$564,000 - $606,900",Important notes
5-room,Blk 223A,Chinese,#10:1,"$564,000 - $606,900",Important notes
5-room,Blk 223B,Chinese,#23:1; #32:1,"$564,000 - $606,900",Important notes
5-room,Blk 221A,Indian/ Other Races,#11:1; #28:1,"$564,000 - $606,900",Important notes
5-room,Blk 223A,Indian/ Other Races,#10:1,"$564,000 - $606,900",Important notes
5-room,Blk 221A,Malay,#11:1; #28:1,"$564,000 - $606,900",Important notes
