project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 237A, Blk 239A, Blk 239C",#02:1; #04:2; #11:1; #14:2,6,"$65,400 - $259,900"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 237A, Blk 239A, Blk 239C",#02:1; #04:2; #11:1; #14:2,6,"$65,400 - $259,900"
Important notes,2-room Flexi,Malay,"Blk 237A, Blk 239A, Blk 239C",#02:1; #04:2; #11:1; #14:2,6,"$65,400 - $259,900"
Important notes,3-room,Chinese,"Blk 239A, Blk 239C",#06:2,2,"$343,600 - $350,700"
Important notes,3-room,Indian/ Other Races,"Blk 239A, Blk 239C",#06:2,2,"$343,600 - $350,700"
Important notes,3-room,Malay,"Blk 239A, Blk 239C",#06:2,2,"$343,600 - $350,700"
Important notes,4-room,Chinese,"Blk 237A, Blk 238A, Blk 239A, Blk 239B, Blk 239C",#05:1; #06:2; #07:1; #08:2; #09:1; #14:1,8,"$419,100 - $469,100"
Important notes,4-room,Indian/ Other Races,"Blk 237A, Blk 238A, Blk 239A, Blk 239B, Blk 239C",#05:1; #06:2; #07:1; #08:2; #09:1; #14:1,8,"$419,100 - $469,100"
Important notes,4-room,Malay,"Blk 237A, Blk 238A, Blk 239A, Blk 239B, Blk 239C",#05:1; #06:2; #07:1; #08:2; #09:1; #14:1,8,"$419,100 - $469,100"
Important notes,5-room,Chinese,"Blk 236A, Blk 236B, Blk 237A, Blk 238A, Blk 239B",#02:1; #05:2; #08:1; #11:3; #12:1,8,"$578,900 - $623,100"
Important notes,5-room,Indian/ Other Races,"Blk 236A, Blk 236B, Blk 237A, Blk 238A, Blk 239B",#02:1; #05:2; #08:1; #11:3; #12:1,8,"$578,900 - $623,100"
Important notes,5-room,Malay,"Blk 236A, Blk 236B, Blk 237A, Blk 238A, Blk 239B",#02:1; #05:2; #08:1; #11:3; #12:1,8,"$578,900 - $623,100"
