flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 237A,Chinese,#14:1,"$65,400 - $259,900",Important notes
2-room Flexi,Blk 239A,Chinese,#02:1; #04:1; #11:1,"$65,400 - $259,900",Important notes
2-room Flexi,Blk 239C,Chinese,#04:1; #14:1,"$65,400 - $259,900",Important notes
2-room Flexi,Blk 237A,Indian/ Other Races,#14:1,"$65,400 - $259,900",Important notes
2-room Flexi,Blk 239A,Indian/ Other Races,#02:1; #04:1; #11:1,"$65,400 - $259,900",Important notes
2-room Flexi,Blk 239C,Indian/ Other Races,#04:1; #14:1,"$65,400 - $259,900",Important notes
2-room Flexi,Blk 237A,Malay,#14:1,"$65,400 - $259,900",Important notes
2-room Flexi,Blk 239A,Malay,#02:1; #04:1; #11:1,"$65,400 - $259,900",Important notes
2-room Flexi,Blk 239C,Malay,#04:1; #14:1,"$65,400 - $259,900",Important notes
3-room,Blk 239A,Chinese,#06:1,"$343,600 - $350,700",Important notes
3-room,Blk 239C,Chinese,#06:1,"$343,600 - $350,700",Important notes
3-room,Blk 239A,Indian/ Other Races,#06:1,"$343,600 - $350,700",Important notes
3-room,Blk 239C,Indian/ Other Races,#06:1,"$343,600 - $350,700",Important notes
3-room,Blk 239A,Malay,#06:1,"$343,600 - $350,700",Important notes
3-room,Blk 239C,Malay,#06:1,"$343,600 - $350,700",Important notes
4-room,Blk 237A,Chinese,#06:1,"$419,100 - $469,100",Important notes
4-room,Blk 238A,Chinese,#05:1; #07:1,"$419,100 - $469,100",Important notes
4-room,Blk 239A,Chinese,#09:1,"$419,100 - $469,100",Important notes
4-room,Blk 239B,Chinese,#08:1,"$419,100 - $469,100",Important notes
4-room,Blk 239C,Chinese,#06:1; #08:1; #14:1,"$419,100 - $469,100",Important notes
4-room,Blk 237A,Indian/ Other Races,#06:1,"$419,100 - $469,100",Important notes
4-room,Blk 238A,Indian/ Other Races,#05:1; #07:1,"$419,100 - $469,100",Important notes
4-room,Blk 239A,Indian/ Other Races,#09:1,"$419,100 - $469,100",Important notes
4-room,Blk 239B,Indian/ Other Races,#08:1,"$419,100 - $469,100",Important notes
4-room,Blk 239C,Indian/ Other Races,#06:1; #08:1; #14:1,"$419,100 - $469,100",Important notes
4-room,Blk 237A,Malay,#06:1,"$419,100 - $469,100",Important notes
4-room,Blk 238A,Malay,#05:1; #07:1,"$419,100 - $469,100",Important notes
4-room,Blk 239A,Malay,#09:1,"$419,100 - $469,100",Important notes
4-room,Blk 239B,Malay,#08:1,"$419,100 - $469,100",Important notes
4-room,Blk 239C,Malay,#06:1; #08:1; #14:1,"$419,100 - $469,100",Important notes
5-room,Blk 236A,Chinese,#05:1; #11:1,"$578,900 - $623,100",Important notes
5-room,Blk 236B,Chinese,#08:1; #11:1,"$578,900 - $623,100",Important notes
5-room,Blk 237A,Chinese,#05:1,"$578,900 - $623,100",Important notes
5-room,Blk 238A,Chinese,#11:1; #12:1,"$578,900 - $623,100",Important notes
5-room,Blk 239B,Chinese,#02:1,"$578,900 - $623,100",Important notes
5-room,Blk 236A,Indian/ Other Races,#05:1; #11:1,"$578,900 - $623,100",Important notes
5-room,Blk 236B,Indian/ Other Races,#08:1; #11:1,"$578,900 - $623,100",Important notes
5-room,Blk 237A,Indian/ Other Races,#05:1,"$578,900 - $623,100",Important notes
5-room,Blk 238A,Indian/ Other Races,#11:1; #12:1,"$578,900 - $623,100",Important notes
5-room,Blk 239B,Indian/ Other Races,#02:1,"$578,900 - $623,100",Important notes
5-room,Blk 236A,Malay,#05:1; #11:1,"$578,900 - $623,100",Important notes
5-room,Blk 236B,Malay,#08:1; #11:1,"$578,900 - $623,100",Important notes
5-room,Blk 237A,Malay,#05:1,"$578,900 - $623,100",Important notes
5-room,Blk 238A,Malay,#11:1; #12:1,"$578,900 - $623,100",Important notes
5-room,Blk 239B,Malay,#02:1,"$578,900 - $623,100",Important notes
