flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 306C,Chinese,#14:1,"$60,400 - $213,600",Important notes
2-room Flexi,Blk 307C,Chinese,#04:1,"$60,400 - $213,600",Important notes
2-room Flexi,Blk 308C,Chinese,#11:1,"$60,400 - $213,600",Important notes
2-room Flexi,Blk 309C,Chinese,#10:1,"$60,400 - $213,600",Important notes
2-room Flexi,Blk 306C,Indian/ Other Races,#14:1,"$60,400 - $213,600",Important notes
2-room Flexi,Blk 307C,Indian/ Other Races,#04:1,"$60,400 - $213,600",Important notes
2-room Flexi,Blk 308C,Indian/ Other Races,#11:1,"$60,400 - $213,600",Important notes
2-room Flexi,Blk 309C,Indian/ Other Races,#10:1,"$60,400 - $213,600",Important notes
2-room Flexi,Blk 306C,Malay,#14:1,"$60,400 - $213,600",Important notes
2-room Flexi,Blk 307C,Malay,#04:1,"$60,400 - $213,600",Important notes
2-room Flexi,Blk 308C,Malay,#11:1,"$60,400 - $213,600",Important notes
2-room Flexi,Blk 309C,Malay,#10:1,"$60,400 - $213,600",Important notes
4-room,Blk 309A,Chinese,#13:1,"$389,100 - $525,600",Important notes
4-room,Blk 309A,Indian/ Other Races,#13:1,"$389,100 - $525,600",Important notes
4-room,Blk 309A,Malay,#13:1,"$389,100 - $525,600",Important notes
5-room,Blk 306A,Chinese,#09:1,"$599,600 - $603,600",Important notes
5-room,Blk 309B,Chinese,#11:1,"$599,600 - $603,600",Important notes
5-room,Blk 306A,Indian/ Other Races,#09:1,"$599,600 - $603,600",Important notes
5-room,Blk 309B,Indian/ Other Races,#11:1,"$599,600 - $603,600",Important notes
5-room,Blk 306A,Malay,#09:1,"$599,600 - $603,600",Important notes
5-room,Blk 309B,Malay,#11:1,"$599,600 - $603,600",Important notes
