flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 316B,Chinese,#08:1,"$85,800 - $250,700",Important notes
2-room Flexi,Blk 316B,Indian/ Other Races,#08:1,"$85,800 - $250,700",Important notes
2-room Flexi,Blk 316B,Malay,#08:1,"$85,800 - $250,700",Important notes
4-room,Blk 316A,Chinese,#02:1; #10:1; #11:1; #13:1,"$442,100 - $493,000",Important notes
4-room,Blk 318B,Chinese,#10:1,"$442,100 - $493,000",Important notes
4-room,Blk 316A,Indian/ Other Races,#02:1; #10:1; #11:1; #13:1,"$442,100 - $493,000",Important notes
4-room,Blk 318B,Indian/ Other Races,#10:1,"$442,100 - $493,000",Important notes
4-room,Blk 316A,Malay,#02:1; #10:1; #11:1; #13:1,"$442,100 - $493,000",Important notes
4-room,Blk 318B,Malay,#10:1,"$442,100 - $493,000",Important notes
5-room,Blk 318A,Chinese,#07:1,"$601,600 - $616,900",Important notes
5-room,Blk 319B,Chinese,#06:1,"$601,600 - $616,900",Important notes
5-room,Blk 318A,Indian/ Other Races,#07:1,"$601,600 - $616,900",Important notes
5-room,Blk 319B,Indian/ Other Races,#06:1,"$601,600 - $616,900",Important notes
5-room,Blk 318A,Malay,#07:1,"$601,600 - $616,900",Important notes
5-room,Blk 319B,Malay,#06:1,"$601,600 - $616,900",Important notes
