project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 326B, Blk 328A, Blk 328B",#02:2; #07:1; #08:2,5,"$64,900 - $250,700"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 326B, Blk 328A, Blk 328B",#02:2; #07:1; #08:2,5,"$64,900 - $250,700"
Important notes,2-room Flexi,Malay,"Blk 326B, Blk 328A, Blk 328B",#02:2; #07:1; #08:2,5,"$64,900 - $250,700"
Important notes,3-room,Chinese,"Blk 327B, Blk 328B",#03:1; #13:1,2,"$347,500 - $380,100"
Important notes,3-room,Indian/ Other Races,"Blk 327B, Blk 328B",#03:1; #13:1,2,"$347,500 - $380,100"
Important notes,3-room,Malay,"Blk 327B, Blk 328B",#03:1; #13:1,2,"$347,500 - $380,100"
Important notes,4-room,Chinese,"Blk 326A, Blk 327A, Blk 327C, Blk 328C, Blk 328D, Blk 330A, Blk 332A",#05:1; #06:1; #08:1; #10:1; #11:2; #12:1,7,"$477,000 - $525,600"
Important notes,4-room,Indian/ Other Races,"Blk 326A, Blk 327A, Blk 327C, Blk 328C, Blk 328D, Blk 330A, Blk 332A",#05:1; #06:1; #08:1; #10:1; #11:2; #12:1,7,"$477,000 - $525,600"
Important notes,4-room,Malay,"Blk 326A, Blk 327A, Blk 327C, Blk 328C, Blk 328D, Blk 330A, Blk 332A",#05:1; #06:1; #08:1; #10:1; #11:2; #12:1,7,"$477,000 - $525,600"
Important notes,5-room,Chinese,"Blk 326A, Blk 327A, Blk 331A",#04:1; #05:1; #11:1; #13:1,4,"$615,500 - $657,700"
Important notes,5-room,Indian/ Other Races,"Blk 326A, Blk 327A, Blk 331A",#04:1; #05:1; #11:1; #13:1,4,"$615,500 - $657,700"
Important notes,5-room,Malay,"Blk 326A, Blk 327A, Blk 331A",#04:1; #05:1; #11:1; #13:1,4,"$615,500 - $657,700"
