flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 326B,Chinese,#02:1; #08:1,"$64,900 - $250,700",Important notes
2-room Flexi,Blk 328A,Chinese,#02:1; #07:1,"$64,900 - $250,700",Important notes
2-room Flexi,Blk 328B,Chinese,#08:1,"$64,900 - $250,700",Important notes
2-room Flexi,Blk 326B,Indian/ Other Races,#02:1; #08:1,"$64,900 - $250,700",Important notes
2-room Flexi,Blk 328A,Indian/ Other Races,#02:1; #07:1,"$64,900 - $250,700",Important notes
2-room Flexi,Blk 328B,Indian/ Other Races,#08:1,"$64,900 - $250,700",Important notes
2-room Flexi,Blk 326B,Malay,#02:1; #08:1,"$64,900 - $250,700",Important notes
2-room Flexi,Blk 328A,Malay,#02:1; #07:1,"$64,900 - $250,700",Important notes
2-room Flexi,Blk 328B,Malay,#08:1,"$64,900 - $250,700",Important notes
3-room,Blk 327B,Chinese,#13:1,"$347,500 - $380,100",Important notes
3-room,Blk 328B,Chinese,#03:1,"$347,500 - $380,100",Important notes
3-room,Blk 327B,Indian/ Other Races,#13:1,"$347,500 - $380,100",Important notes
3-room,Blk 328B,Indian/ Other Races,#03:1,"$347,500 - $380,100",Important notes
3-room,Blk 327B,Malay,#13:1,"$347,500 - $380,100",Important notes
3-room,Blk 328B,Malay,#03:1,"$347,500 - $380,100",Important notes
4-room,Blk 326A,Chinese,#06:1,"$477,000 - $525,600",Important notes
4-room,Blk 327A,Chinese,#11:1,"$477,000 - $525,600",Important notes
4-room,Blk 327C,Chinese,#10:1,"$477,000 - $525,600",Important notes
4-room,Blk 328C,Chinese,#08:1,"$477,000 - $525,600",Important notes
4-room,Blk 328D,Chinese,#11:1,"$477,000 - $525,600",Important notes
4-room,Blk 330A,Chinese,#12:1,"$477,000 - $525,600",Important notes
4-room,Blk 332A,Chinese,#05:1,"$477,000 - $525,600",Important notes
4-room,Blk 326A,Indian/ Other Races,#06:1,"$477,000 - $525,600",Important notes
4-room,Blk 327A,Indian/ Other Races,#11:1,"$477,000 - $525,600",Important notes
4-room,Blk 327C,Indian/ Other Races,#10:1,"$477,000 - $525,600",Important notes
4-room,Blk 328C,Indian/ Other Races,#08:1,"$477,000 - $525,600",Important notes
4-room,Blk 328D,Indian/ Other Races,#11:1,"$477,000 - $525,600",Important notes
4-room,Blk 330A,Indian/ Other Races,#12:1,"$477,000 - $525,600",Important notes
4-room,Blk 332A,Indian/ Other Races,#05:1,"$477,000 - $525,600",Important notes
4-room,Blk 326A,Malay,#06:1,"$477,000 - $525,600",Important notes
4-room,Blk 327A,Malay,#11:1,"$477,000 - $525,600",Important notes
4-room,Blk 327C,Malay,#10:1,"$477,000 - $525,600",Important notes
4-room,Blk 328C,Malay,#08:1,"$477,000 - $525,600",Important notes
4-room,Blk 328D,Malay,#11:1,"$477,000 - $525,600",Important notes
4-room,Blk 330A,Malay,#12:1,"$477,000 - $525,600",Important notes
4-room,Blk 332A,Malay,#05:1,"$477,000 - $525,600",Important notes
5-room,Blk 326A,Chinese,#13:1,"$615,500 - $657,700",Important notes
5-room,Blk 327A,Chinese,#04:1; #11:1,"$615,500 - $657,700",Important notes
5-room,Blk 331A,Chinese,#05:1,"$615,500 - $657,700",Important notes
5-room,Blk 326A,Indian/ Other Races,#13:1,"$615,500 - $657,700",Important notes
5-room,Blk 327A,Indian/ Other Races,#04:1; #11:1,"$615,500 - $657,700",Important notes
5-room,Blk 331A,Indian/ Other Races,#05:1,"$615,500 - $657,700",Important notes
5-room,Blk 326A,Malay,#13:1,"$615,500 - $657,700",Important notes
5-room,Blk 327A,Malay,#04:1; #11:1,"$615,500 - $657,700",Important notes
5-room,Blk 331A,Malay,#05:1,"$615,500 - $657,700",Important notes
