project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 301C, Blk 302A",#04:1; #07:2; #08:1,4,"$77,200 - $238,700"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 301C, Blk 302A",#04:1; #07:2; #08:1,4,"$77,200 - $238,700"
Important notes,2-room Flexi,Malay,"Blk 301C, Blk 302A",#04:1; #07:2; #08:1,4,"$77,200 - $238,700"
Important notes,3-room,Chinese,Blk 300D,#09:1,1,"$337,900 - $391,100"
Important notes,3-room,Indian/ Other Races,Blk 300D,#09:1,1,"$337,900 - $391,100"
Important notes,3-room,Malay,Blk 300D,#09:1,1,"$337,900 - $391,100"
Important notes,4-room,Chinese,"Blk 301B, Blk 302B",#04:1; #05:1; #09:1,3,"$492,900 - $503,200"
Important notes,4-room,Indian/ Other Races,"Blk 301B, Blk 302B",#04:1; #05:1; #09:1,3,"$492,900 - $503,200"
Important notes,4-room,Malay,"Blk 301B, Blk 302B",#04:1; #05:1; #09:1,3,"$492,900 - $503,200"
Important notes,5-room,Chinese,Blk 300C,#08:1,1,"$536,600 - $657,700"
Important notes,5-room,Indian/ Other Races,Blk 300C,#08:1,1,"$536,600 - $657,700"
Important notes,5-room,Malay,Blk 300C,#08:1,1,"$536,600 - $657,700"
