flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 301C,Chinese,#04:1; #07:1,"$77,200 - $238,700",Important notes
2-room Flexi,Blk 302A,Chinese,#07:1; #08:1,"$77,200 - $238,700",Important notes
2-room Flexi,Blk 301C,Indian/ Other Races,#04:1; #07:1,"$77,200 - $238,700",Important notes
2-room Flexi,Blk 302A,Indian/ Other Races,#07:1; #08:1,"$77,200 - $238,700",Important notes
2-room Flexi,Blk 301C,Malay,#04:1; #07:1,"$77,200 - $238,700",Important notes
2-room Flexi,Blk 302A,Malay,#07:1; #08:1,"$77,200 - $238,700",Important notes
3-room,Blk 300D,Chinese,#09:1,"$337,900 - $391,100",Important notes
3-room,Blk 300D,Indian/ Other Races,#09:1,"$337,900 - $391,100",Important notes
3-room,Blk 300D,Malay,#09:1,"$337,900 - $391,100",Important notes
4-room,Blk 301B,Chinese,#04:1; #09:1,"$492,900 - $503,200",Important notes
4-room,Blk 302B,Chinese,#05:1,"$492,900 - $503,200",Important notes
4-room,Blk 301B,Indian/ Other Races,#04:1; #09:1,"$492,900 - $503,200",Important notes
4-room,Blk 302B,Indian/ Other Races,#05:1,"$492,900 - $503,200",Important notes
4-room,Blk 301B,Malay,#04:1; #09:1,"$492,900 - $503,200",Important notes
4-room,Blk 302B,Malay,#05:1,"$492,900 - $503,200",Important notes
5-room,Blk 300C,Chinese,#08:1,"$536,600 - $657,700",Important notes
5-room,Blk 300C,Indian/ Other Races,#08:1,"$536,600 - $657,700",Important notes
5-room,Blk 300C,Malay,#08:1,"$536,600 - $657,700",Important notes
