flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 322B,Chinese,#09:1; #14:1,"$64,700 - $235,700",Important notes
2-room Flexi,Blk 322C,Chinese,#06:1; #07:1,"$64,700 - $235,700",Important notes
2-room Flexi,Blk 323A,Chinese,#05:1,"$64,700 - $235,700",Important notes
2-room Flexi,Blk 322B,Indian/ Other Races,#09:1; #14:1,"$64,700 - $235,700",Important notes
2-room Flexi,Blk 322C,Indian/ Other Races,#06:1; #07:1,"$64,700 - $235,700",Important notes
2-room Flexi,Blk 323A,Indian/ Other Races,#05:1,"$64,700 - $235,700",Important notes
2-room Flexi,Blk 322B,Malay,#09:1; #14:1,"$64,700 - $235,700",Important notes
2-room Flexi,Blk 322C,Malay,#06:1; #07:1,"$64,700 - $235,700",Important notes
2-room Flexi,Blk 323A,Malay,#05:1,"$64,700 - $235,700",Important notes
3-room,Blk 323B,Chinese,#11:1,"$337,900 - $391,100",Important notes
3-room,Blk 323B,Indian/ Other Races,#11:1,"$337,900 - $391,100",Important notes
3-room,Blk 323B,Malay,#11:1,"$337,900 - $391,100",Important notes
4-room,Blk 322A,Chinese,#06:1,"$464,000 - $481,100",Important notes
4-room,Blk 323B,Chinese,#05:1; #06:1; #12:1,"$464,000 - $481,100",Important notes
4-room,Blk 322A,Indian/ Other Races,#06:1,"$464,000 - $481,100",Important notes
4-room,Blk 323B,Indian/ Other Races,#05:1; #06:1; #12:1,"$464,000 - $481,100",Important notes
4-room,Blk 322A,Malay,#06:1,"$464,000 - $481,100",Important notes
4-room,Blk 323B,Malay,#05:1; #06:1; #12:1,"$464,000 - $481,100",Important notes
