flat_type,block,ethnicity,floor_data,price_range,project
4-room,Blk 134A,Chinese,#04:1,"$439,200 - $474,300",Important notes
4-room,Blk 134C,Chinese,#05:1,"$439,200 - $474,300",Important notes
4-room,Blk 135A,Chinese,#09:1; #10:1,"$439,200 - $474,300",Important notes
4-room,Blk 135B,Chinese,#10:1,"$439,200 - $474,300",Important notes
4-room,Blk 134A,Indian/ Other Races,#04:1,"$439,200 - $474,300",Important notes
4-room,Blk 134C,Indian/ Other Races,#05:1,"$439,200 - $474,300",Important notes
4-room,Blk 135A,Indian/ Other Races,#09:1; #10:1,"$439,200 - $474,300",Important notes
4-room,Blk 135B,Indian/ Other Races,#10:1,"$439,200 - $474,300",Important notes
4-room,Blk 134A,Malay,#04:1,"$439,200 - $474,300",Important notes
4-room,Blk 134C,Malay,#05:1,"$439,200 - $474,300",Important notes
4-room,Blk 135A,Malay,#09:1; #10:1,"$439,200 - $474,300",Important notes
4-room,Blk 135B,Malay,#10:1,"$439,200 - $474,300",Important notes
5-room,Blk 134B,Chinese,#05:1; #06:1,"$588,800 - $593,900",Important notes
5-room,Blk 134B,Indian/ Other Races,#05:1; #06:1,"$588,800 - $593,900",Important notes
5-room,Blk 134B,Malay,#05:1; #06:1,"$588,800 - $593,900",Important notes
