flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 109B,Chinese,#09:1,"$75,100 - $218,400",Important notes
2-room Flexi,Blk 109B,Indian/ Other Races,#09:1,"$75,100 - $218,400",Important notes
2-room Flexi,Blk 109B,Malay,#09:1,"$75,100 - $218,400",Important notes
4-room,Blk 104B,Chinese,#03:1; #05:1,"$440,200 - $469,600",Important notes
4-room,Blk 108A,Chinese,#10:1,"$440,200 - $469,600",Important notes
4-room,Blk 104B,Indian/ Other Races,#03:1; #05:1,"$440,200 - $469,600",Important notes
4-room,Blk 108A,Indian/ Other Races,#10:1,"$440,200 - $469,600",Important notes
4-room,Blk 104B,Malay,#03:1; #05:1,"$440,200 - $469,600",Important notes
4-room,Blk 108A,Malay,#10:1,"$440,200 - $469,600",Important notes
5-room,Blk 109B,Chinese,#07:1,"$536,600 - $657,700",Important notes
5-room,Blk 109B,Indian/ Other Races,#07:1,"$536,600 - $657,700",Important notes
5-room,Blk 109B,Malay,#07:1,"$536,600 - $657,700",Important notes
