project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 116B, Blk 118A, Blk 120B, Blk 121C",#04:1; #06:1; #08:1; #13:1,4,"$55,700 - $209,000"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 116B, Blk 118A, Blk 120B, Blk 121C",#04:1; #06:1; #08:1; #13:1,4,"$55,700 - $209,000"
Important notes,2-room Flexi,Malay,"Blk 116B, Blk 118A, Blk 120B, Blk 121C",#04:1; #06:1; #08:1; #13:1,4,"$55,700 - $209,000"
Important notes,3-room,Chinese,"Blk 118A, Blk 119C",#06:1; #07:1,2,"$337,900 - $356,200"
Important notes,3-room,Indian/ Other Races,"Blk 118A, Blk 119C",#06:1; #07:1,2,"$337,900 - $356,200"
Important notes,3-room,Malay,"Blk 118A, Blk 119C",#06:1; #07:1,2,"$337,900 - $356,200"
Important notes,4-room,Chinese,Blk 120A,#09:1,1,"$389,100 - $525,600"
Important notes,4-room,Indian/ Other Races,Blk 120A,#09:1,1,"$389,100 - $525,600"
Important notes,4-room,Malay,Blk 120A,#09:1,1,"$389,100 - $525,600"
Important notes,5-room,Chinese,Blk 120C,#03:1,1,"$536,600 - $657,700"
Important notes,5-room,Indian/ Other Races,Blk 120C,#03:1,1,"$536,600 - $657,700"
Important notes,5-room,Malay,Blk 120C,#03:1,1,"$536,600 - $657,700"
