flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 116B,Chinese,#13:1,"$55,700 - $209,000",Important notes
2-room Flexi,Blk 118A,Chinese,#08:1,"$55,700 - $209,000",Important notes
2-room Flexi,Blk 120B,Chinese,#06:1,"$55,700 - $209,000",Important notes
2-room Flexi,Blk 121C,Chinese,#04:2,"$55,700 - $209,000",Important notes
2-room Flexi,Blk 116B,Indian/ Other Races,#13:1,"$55,700 - $209,000",Important notes
2-room Flexi,Blk 118A,Indian/ Other Races,#08:1,"$55,700 - $209,000",Important notes
2-room Flexi,Blk 120B,Indian/ Other Races,#06:1,"$55,700 - $209,000",Important notes
2-room Flexi,Blk 121C,Indian/ Other Races,#04:2,"$55,700 - $209,000",Important notes
2-room Flexi,Blk 116B,Malay,#13:1,"$55,700 - $209,000",Important notes
2-room Flexi,Blk 118A,Malay,#08:1,"$55,700 - $209,000",Important notes
2-room Flexi,Blk 120B,Malay,#06:1,"$55,700 - $209,000",Important notes
2-room Flexi,Blk 121C,Malay,#04:2,"$55,700 - $209,000",Important notes
3-room,Blk 118A,Chinese,#06:1,"$337,900 - $356,200",Important notes
3-room,Blk 119C,Chinese,#07:1,"$337,900 - $356,200",Important notes
3-room,Blk 118A,Indian/ Other Races,#06:1,"$337,900 - $356,200",Important notes
3-room,Blk 119C,Indian/ Other Races,#07:1,"$337,900 - $356,200",Important notes
3-room,Blk 118A,Malay,#06:1,"$337,900 - $356,200",Important notes
3-room,Blk 119C,Malay,#07:1,"$337,900 - $356,200",Important notes
4-room,Blk 120A,Chinese,#09:1,"$389,100 - $525,600",Important notes
4-room,Blk 120A,Indian/ Other Races,#09:1,"$389,100 - $525,600",Important notes
4-room,Blk 120A,Malay,#09:1,"$389,100 - $525,600",Important notes
5-room,Blk 120C,Chinese,#03:1,"$536,600 - $657,700",Important notes
5-room,Blk 120C,Indian/ Other Races,#03:1,"$536,600 - $657,700",Important notes
5-room,Blk 120C,Malay,#03:1,"$536,600 - $657,700",Important notes
