flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 101B,Chinese,#13:1,"$77,800 - $226,500",Important notes
2-room Flexi,Blk 101B,Indian/ Other Races,#13:1,"$77,800 - $226,500",Important notes
2-room Flexi,Blk 101B,Malay,#13:1,"$77,800 - $226,500",Important notes
4-room,Blk 100A,Chinese,#16:1,"$473,200 - $484,300",Important notes
4-room,Blk 100B,Chinese,#13:1,"$473,200 - $484,300",Important notes
4-room,Blk 102A,Chinese,#15:1,"$473,200 - $484,300",Important notes
4-room,Blk 100A,Indian/ Other Races,#16:1,"$473,200 - $484,300",Important notes
4-room,Blk 100B,Indian/ Other Races,#13:1,"$473,200 - $484,300",Important notes
4-room,Blk 102A,Indian/ Other Races,#15:1,"$473,200 - $484,300",Important notes
4-room,Blk 100A,Malay,#16:1,"$473,200 - $484,300",Important notes
4-room,Blk 100B,Malay,#13:1,"$473,200 - $484,300",Important notes
4-room,Blk 102A,Malay,#15:1,"$473,200 - $484,300",Important notes
5-room,Blk 100A,Chinese,#11:1,"$607,200 - $642,300",Important notes
5-room,Blk 102A,Chinese,#13:1; #15:1,"$607,200 - $642,300",Important notes
5-room,Blk 100A,Indian/ Other Races,#11:1,"$607,200 - $642,300",Important notes
5-room,Blk 102A,Indian/ Other Races,#13:1; #15:1,"$607,200 - $642,300",Important notes
5-room,Blk 100A,Malay,#11:1,"$607,200 - $642,300",Important notes
5-room,Blk 102A,Malay,#13:1; #15:1,"$607,200 - $642,300",Important notes
