flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 442B,Chinese,#02:1; #07:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 443B,Chinese,#09:1; #12:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 445A,Chinese,#12:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 445B,Chinese,#10:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 446B,Chinese,#04:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 447A,Chinese,#18:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 448B,Chinese,#09:1; #14:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 442B,Indian/ Other Races,#02:1; #07:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 443B,Indian/ Other Races,#09:1; #12:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 445A,Indian/ Other Races,#12:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 445B,Indian/ Other Races,#10:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 446B,Indian/ Other Races,#04:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 447A,Indian/ Other Races,#18:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 448B,Indian/ Other Races,#09:1; #14:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 442B,Malay,#02:1; #07:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 443B,Malay,#09:1; #12:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 445A,Malay,#12:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 445B,Malay,#10:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 446B,Malay,#04:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 447A,Malay,#18:1,"$62,000 - $252,700",Important notes
2-room Flexi,Blk 448B,Malay,#09:1; #14:1,"$62,000 - $252,700",Important notes
3-room,Blk 448A,Chinese,#02:1,"$343,600 - $380,700",Important notes
3-room,Blk 448A,Indian/ Other Races,#02:1,"$343,600 - $380,700",Important notes
3-room,Blk 448A,Malay,#02:1,"$343,600 - $380,700",Important notes
4-room,Blk 442A,Chinese,#05:1,"$503,900 - $519,100",Important notes
4-room,Blk 443B,Chinese,#03:1,"$503,900 - $519,100",Important notes
4-room,Blk 442A,Indian/ Other Races,#05:1,"$503,900 - $519,100",Important notes
4-room,Blk 443B,Indian/ Other Races,#03:1,"$503,900 - $519,100",Important notes
4-room,Blk 442A,Malay,#05:1,"$503,900 - $519,100",Important notes
4-room,Blk 443B,Malay,#03:1,"$503,900 - $519,100",Important notes
