flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 435B,Chinese,#11:1; #21:1,"$78,800 - $236,600",Important notes
2-room Flexi,Blk 438C,Chinese,#11:1,"$78,800 - $236,600",Important notes
2-room Flexi,Blk 435B,Indian/ Other Races,#11:1; #21:1,"$78,800 - $236,600",Important notes
2-room Flexi,Blk 438C,Indian/ Other Races,#11:1,"$78,800 - $236,600",Important notes
2-room Flexi,Blk 435B,Malay,#11:1; #21:1,"$78,800 - $236,600",Important notes
2-room Flexi,Blk 438C,Malay,#11:1,"$78,800 - $236,600",Important notes
4-room,Blk 435A,Chinese,#08:1,"$491,900 - $495,500",Important notes
4-room,Blk 436A,Chinese,#08:1,"$491,900 - $495,500",Important notes
4-room,Blk 435A,Indian/ Other Races,#08:1,"$491,900 - $495,500",Important notes
4-room,Blk 436A,Indian/ Other Races,#08:1,"$491,900 - $495,500",Important notes
4-room,Blk 435A,Malay,#08:1,"$491,900 - $495,500",Important notes
4-room,Blk 436A,Malay,#08:1,"$491,900 - $495,500",Important notes
5-room,Blk 436B,Chinese,#10:1,"$667,300 - $689,300",Important notes
5-room,Blk 437A,Chinese,#07:1,"$667,300 - $689,300",Important notes
5-room,Blk 436B,Indian/ Other Races,#10:1,"$667,300 - $689,300",Important notes
5-room,Blk 437A,Indian/ Other Races,#07:1,"$667,300 - $689,300",Important notes
5-room,Blk 436B,Malay,#10:1,"$667,300 - $689,300",Important notes
5-room,Blk 437A,Malay,#07:1,"$667,300 - $689,300",Important notes
