flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 431B,Chinese,#16:1,"$77,700 - $240,000",Important notes
2-room Flexi,Blk 431C,Chinese,#21:1,"$77,700 - $240,000",Important notes
2-room Flexi,Blk 433B,Chinese,#08:1; #11:1,"$77,700 - $240,000",Important notes
2-room Flexi,Blk 431B,Indian/ Other Races,#16:1,"$77,700 - $240,000",Important notes
2-room Flexi,Blk 431C,Indian/ Other Races,#21:1,"$77,700 - $240,000",Important notes
2-room Flexi,Blk 433B,Indian/ Other Races,#08:1; #11:1,"$77,700 - $240,000",Important notes
2-room Flexi,Blk 431B,Malay,#16:1,"$77,700 - $240,000",Important notes
2-room Flexi,Blk 431C,Malay,#21:1,"$77,700 - $240,000",Important notes
2-room Flexi,Blk 433B,Malay,#08:1; #11:1,"$77,700 - $240,000",Important notes
5-room,Blk 432B,Chinese,#03:1,"$578,900 - $689,300",Important notes
5-room,Blk 432B,Indian/ Other Races,#03:1,"$578,900 - $689,300",Important notes
5-room,Blk 432B,Malay,#03:1,"$578,900 - $689,300",Important notes
