flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 204A,Indian/ Other Races,#03:1,"$278,000 - $596,100",Important notes
3-room,Blk 204A,Malay,#03:1,"$278,000 - $596,100",Important notes
4-room,Blk 204A,Chinese,#05:1; #18:1; #29:1; #34:1; #40:1,"$722,300 - $832,100",Important notes
4-room,Blk 204B,Chinese,#15:1; #17:1,"$722,300 - $832,100",Important notes
4-room,Blk 205A,Chinese,#04:1; #11:1; #12:1; #16:1; #25:1; #27:1; #28:1; #32:1,"$722,300 - $832,100",Important notes
4-room,Blk 205B,Chinese,#14:1,"$722,300 - $832,100",Important notes
4-room,Blk 204A,Indian/ Other Races,#05:1; #18:1; #29:1; #34:1; #40:1,"$722,300 - $832,100",Important notes
4-room,Blk 204B,Indian/ Other Races,#15:1; #17:1,"$722,300 - $832,100",Important notes
4-room,Blk 205A,Indian/ Other Races,#04:1; #11:1; #12:1; #16:1; #25:1; #27:1; #28:1; #32:1,"$722,300 - $832,100",Important notes
4-room,Blk 205B,Indian/ Other Races,#14:1,"$722,300 - $832,100",Important notes
4-room,Blk 204A,Malay,#05:1; #18:1; #29:1; #34:1; #40:1,"$722,300 - $832,100",Important notes
4-room,Blk 204B,Malay,#15:1; #17:1,"$722,300 - $832,100",Important notes
4-room,Blk 205A,Malay,#04:1; #11:1; #12:1; #16:1; #25:1; #27:1; #28:1; #32:1,"$722,300 - $832,100",Important notes
4-room,Blk 205B,Malay,#14:1,"$722,300 - $832,100",Important notes
Community Care Apartment,Blk 203A,Chinese,#02:15; #03:10; #04:8; #05:4; #06:5; #08:1; #10:2; #11:1; #18:1; #19:1; #21:1,"$79,900 - $160,600",Important notes
Community Care Apartment,Blk 203A,Indian/ Other Races,#02:15; #03:10; #04:8; #05:4; #06:5; #08:1; #10:2; #11:1; #18:1; #19:1; #21:1,"$79,900 - $160,600",Important notes
Community Care Apartment,Blk 203A,Malay,#02:15; #03:10; #04:8; #05:4; #06:5; #08:1; #10:2; #11:1; #18:1; #19:1; #21:1,"$79,900 - $160,600",Important notes
