flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 35C,Chinese,#03:1; #08:1; #10:1,"$62,900 - $196,100",Important notes
2-room Flexi,Blk 35C,Indian/ Other Races,#03:1; #08:1; #10:1,"$62,900 - $196,100",Important notes
2-room Flexi,Blk 35C,Malay,#03:1; #08:1; #10:1,"$62,900 - $196,100",Important notes
4-room,Blk 35B,Chinese,#03:1; #08:1,"$373,300 - $401,900",Important notes
4-room,Blk 36A,Chinese,#03:1,"$373,300 - $401,900",Important notes
4-room,Blk 36B,Chinese,#03:1,"$373,300 - $401,900",Important notes
4-room,Blk 36C,Chinese,#05:1,"$373,300 - $401,900",Important notes
4-room,Blk 35B,Indian/ Other Races,#03:1; #08:1,"$373,300 - $401,900",Important notes
4-room,Blk 36A,Indian/ Other Races,#03:1,"$373,300 - $401,900",Important notes
4-room,Blk 36B,Indian/ Other Races,#03:1,"$373,300 - $401,900",Important notes
4-room,Blk 36C,Indian/ Other Races,#05:1,"$373,300 - $401,900",Important notes
4-room,Blk 35B,Malay,#03:1; #08:1,"$373,300 - $401,900",Important notes
