flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 29A,Chinese,#11:1,"$60,700 - $216,900",Important notes
2-room Flexi,Blk 29B,Chinese,#07:1,"$60,700 - $216,900",Important notes
2-room Flexi,Blk 30C,Chinese,#16:1,"$60,700 - $216,900",Important notes
2-room Flexi,Blk 29A,Indian/ Other Races,#11:1,"$60,700 - $216,900",Important notes
2-room Flexi,Blk 29B,Indian/ Other Races,#07:1,"$60,700 - $216,900",Important notes
2-room Flexi,Blk 30C,Indian/ Other Races,#16:1,"$60,700 - $216,900",Important notes
2-room Flexi,Blk 29A,Malay,#11:1,"$60,700 - $216,900",Important notes
2-room Flexi,Blk 29B,Malay,#07:1,"$60,700 - $216,900",Important notes
2-room Flexi,Blk 30C,Malay,#16:1,"$60,700 - $216,900",Important notes
4-room,Blk 28A,Chinese,#08:1; #21:1,"$430,500 - $486,500",Important notes
4-room,Blk 28C,Chinese,#09:1; #21:1; #22:1,"$430,500 - $486,500",Important notes
4-room,Blk 30A,Chinese,#07:1,"$430,500 - $486,500",Important notes
4-room,Blk 32B,Chinese,#09:1,"$430,500 - $486,500",Important notes
4-room,Blk 28A,Indian/ Other Races,#08:1; #21:1,"$430,500 - $486,500",Important notes
4-room,Blk 28C,Indian/ Other Races,#09:1; #21:1; #22:1,"$430,500 - $486,500",Important notes
4-room,Blk 30A,Indian/ Other Races,#07:1,"$430,500 - $486,500",Important notes
4-room,Blk 32B,Indian/ Other Races,#09:1,"$430,500 - $486,500",Important notes
4-room,Blk 28A,Malay,#08:1; #21:1,"$430,500 - $486,500",Important notes
4-room,Blk 28C,Malay,#09:1; #21:1; #22:1,"$430,500 - $486,500",Important notes
4-room,Blk 30A,Malay,#07:1,"$430,500 - $486,500",Important notes
4-room,Blk 32B,Malay,#09:1,"$430,500 - $486,500",Important notes
5-room,Blk 28A,Chinese,#10:1,"$572,000 - $629,600",Important notes
5-room,Blk 28B,Chinese,#11:1; #22:1,"$572,000 - $629,600",Important notes
5-room,Blk 28C,Chinese,#17:1,"$572,000 - $629,600",Important notes
5-room,Blk 31A,Chinese,#11:1,"$572,000 - $629,600",Important notes
5-room,Blk 32A,Chinese,#08:1,"$572,000 - $629,600",Important notes
5-room,Blk 32B,Chinese,#05:1; #10:1,"$572,000 - $629,600",Important notes
5-room,Blk 28A,Indian/ Other Races,#10:1,"$572,000 - $629,600",Important notes
5-room,Blk 28B,Indian/ Other Races,#11:1; #22:1,"$572,000 - $629,600",Important notes
5-room,Blk 28C,Indian/ Other Races,#17:1,"$572,000 - $629,600",Important notes
5-room,Blk 31A,Indian/ Other Races,#11:1,"$572,000 - $629,600",Important notes
5-room,Blk 32A,Indian/ Other Races,#08:1,"$572,000 - $629,600",Important notes
5-room,Blk 32B,Indian/ Other Races,#05:1; #10:1,"$572,000 - $629,600",Important notes
5-room,Blk 28A,Malay,#10:1,"$572,000 - $629,600",Important notes
5-room,Blk 28B,Malay,#11:1; #22:1,"$572,000 - $629,600",Important notes
5-room,Blk 28C,Malay,#17:1,"$572,000 - $629,600",Important notes
5-room,Blk 31A,Malay,#11:1,"$572,000 - $629,600",Important notes
5-room,Blk 32A,Malay,#08:1,"$572,000 - $629,600",Important notes
5-room,Blk 32B,Malay,#05:1; #10:1,"$572,000 - $629,600",Important notes
