flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 36A,Chinese,#07:1; #11:1; #12:1; #13:1; #14:1; #15:1; #18:1; #19:1; #21:1; #28:1; #32:1,"$535,400 - $603,400",Important notes
3-room,Blk 36C,Chinese,#07:1; #08:1; #09:2; #10:1; #11:1; #15:1; #16:1; #20:1; #24:1; #34:1; #38:1; #39:1; #42:1; #43:1,"$535,400 - $603,400",Important notes
3-room,Blk 37A,Chinese,#08:2; #09:2; #10:1; #11:1; #12:2; #13:1; #15:1; #23:1; #30:1; #34:1; #38:1; #40:1; #41:1; #45:1; #47:1,"$535,400 - $603,400",Important notes
3-room,Blk 37B,Chinese,#07:2; #08:1; #13:1; #15:2; #17:1; #18:1; #20:1; #22:1; #26:2; #29:1; #37:1; #38:2; #45:1,"$535,400 - $603,400",Important notes
3-room,Blk 36A,Indian/ Other Races,#07:1; #11:1; #12:1; #13:1; #14:1; #15:1; #18:1; #19:1; #21:1; #28:1; #32:1,"$535,400 - $603,400",Important notes
3-room,Blk 36C,Indian/ Other Races,#07:1; #08:1; #09:2; #10:1; #11:1; #15:1; #16:1; #20:1; #24:1; #34:1; #38:1; #39:1; #42:1; #43:1,"$535,400 - $603,400",Important notes
3-room,Blk 37A,Indian/ Other Races,#08:2; #09:2; #10:1; #11:1; #12:2; #13:1; #15:1; #23:1; #30:1; #34:1; #38:1; #40:1; #41:1; #45:1; #47:1,"$535,400 - $603,400",Important notes
3-room,Blk 37B,Indian/ Other Races,#07:2; #08:1; #13:1; #15:2; #17:1; #18:1; #20:1; #22:1; #26:2; #29:1; #37:1; #38:2; #45:1,"$535,400 - $603,400",Important notes
3-room,Blk 36A,Malay,#07:1; #11:1; #12:1; #13:1; #14:1; #15:1; #18:1; #19:1; #21:1; #28:1; #32:1,"$535,400 - $603,400",Important notes
3-room,Blk 36C,Malay,#07:1; #08:1; #09:2; #10:1; #11:1; #15:1; #16:1; #20:1; #24:1; #34:1; #38:1; #39:1; #42:1; #43:1,"$535,400 - $603,400",Important notes
3-room,Blk 37A,Malay,#08:2; #09:2; #10:1; #11:1; #12:2; #13:1; #15:1; #23:1; #30:1; #34:1; #38:1; #40:1; #41:1; #45:1; #47:1,"$535,400 - $603,400",Important notes
3-room,Blk 37B,Malay,#07:2; #08:1; #13:1; #15:2; #17:1; #18:1; #20:1; #22:1; #26:2; #29:1; #37:1; #38:2; #45:1,"$535,400 - $603,400",Important notes
4-room,Blk 36A,Chinese,#07:1; #08:1; #09:2; #10:1; #15:1; #16:1; #20:1; #28:1; #33:1; #38:2; #41:1; #45:2; #47:1,"$744,400 - $851,000",Important notes
4-room,Blk 36B,Chinese,#07:2; #08:3; #09:1; #10:1; #11:2; #12:1; #13:2; #14:1; #15:2; #17:1; #18:1; #21:1; #26:1; #31:2; #38:1; #40:2; #41:1; #42:1; #43:2,"$744,400 - $851,000",Important notes
4-room,Blk 36C,Chinese,#07:2; #08:2; #09:2; #10:1; #11:1; #12:1; #26:1; #34:1; #38:1,"$744,400 - $851,000",Important notes
4-room,Blk 37A,Chinese,#14:1; #16:1; #19:1; #26:1,"$744,400 - $851,000",Important notes
4-room,Blk 37B,Chinese,#07:2; #08:1; #09:1; #21:1; #28:1,"$744,400 - $851,000",Important notes
4-room,Blk 37C,Chinese,#07:4; #08:3; #09:3; #10:1; #11:1; #12:1; #13:1; #25:1; #29:1; #34:1; #41:1; #44:1,"$744,400 - $851,000",Important notes
4-room,Blk 36A,Indian/ Other Races,#07:1; #08:1; #09:2; #10:1; #15:1; #16:1; #20:1; #28:1; #33:1; #38:2; #41:1; #45:2; #47:1,"$744,400 - $851,000",Important notes
4-room,Blk 36B,Indian/ Other Races,#07:2; #08:3; #09:1; #10:1; #11:2; #12:1; #13:2; #14:1; #15:2; #17:1; #18:1; #21:1; #26:1; #31:2; #38:1; #40:2; #41:1; #42:1; #43:2,"$744,400 - $851,000",Important notes
4-room,Blk 36C,Indian/ Other Races,#07:2; #08:2; #09:2; #10:1; #11:1; #12:1; #26:1; #34:1; #38:1,"$744,400 - $851,000",Important notes
4-room,Blk 37A,Indian/ Other Races,#14:1; #16:1; #19:1; #26:1,"$744,400 - $851,000",Important notes
4-room,Blk 37B,Indian/ Other Races,#07:2; #08:1; #09:1; #21:1; #28:1,"$744,400 - $851,000",Important notes
4-room,Blk 37C,Indian/ Other Races,#07:4; #08:3; #09:3; #10:1; #11:1; #12:1; #13:1; #25:1; #29:1; #34:1; #41:1; #44:1,"$744,400 - $851,000",Important notes
4-room,Blk 36A,Malay,#07:1; #08:1; #09:2; #10:1; #15:1; #16:1; #20:1; #28:1; #33:1; #38:2; #41:1; #45:2; #47:1,"$744,400 - $851,000",Important notes
4-room,Blk 36B,Malay,#07:2; #08:3; #09:1; #10:1; #11:2; #12:1; #13:2; #14:1; #15:2; #17:1; #18:1; #21:1; #26:1; #31:2; #38:1; #40:2; #41:1; #42:1; #43:2,"$744,400 - $851,000",Important notes
4-room,Blk 36C,Malay,#07:2; #08:2; #09:2; #10:1; #11:1; #12:1; #26:1; #34:1; #38:1,"$744,400 - $851,000",Important notes
4-room,Blk 37A,Malay,#14:1; #16:1; #19:1; #26:1,"$744,400 - $851,000",Important notes
4-room,Blk 37B,Malay,#07:2; #08:1; #09:1; #21:1; #28:1,"$744,400 - $851,000",Important notes
4-room,Blk 37C,Malay,#07:4; #08:3; #09:3; #10:1; #11:1; #12:1; #13:1; #25:1; #29:1; #34:1; #41:1; #44:1,"$744,400 - $851,000",Important notes
