flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 172B,Chinese,#09:1,"$58,600 - $220,400",Important notes
2-room Flexi,Blk 172C,Chinese,#07:1,"$58,600 - $220,400",Important notes
2-room Flexi,Blk 173B,Chinese,#15:1,"$58,600 - $220,400",Important notes
2-room Flexi,Blk 173C,Chinese,#06:1; #11:1,"$58,600 - $220,400",Important notes
2-room Flexi,Blk 172B,Indian/ Other Races,#09:1,"$58,600 - $220,400",Important notes
2-room Flexi,Blk 172C,Indian/ Other Races,#07:1,"$58,600 - $220,400",Important notes
2-room Flexi,Blk 173B,Indian/ Other Races,#15:1,"$58,600 - $220,400",Important notes
2-room Flexi,Blk 173C,Indian/ Other Races,#06:1; #11:1,"$58,600 - $220,400",Important notes
2-room Flexi,Blk 172B,Malay,#09:1,"$58,600 - $220,400",Important notes
2-room Flexi,Blk 172C,Malay,#07:1,"$58,600 - $220,400",Important notes
2-room Flexi,Blk 173B,Malay,#15:1,"$58,600 - $220,400",Important notes
2-room Flexi,Blk 173C,Malay,#06:1; #11:1,"$58,600 - $220,400",Important notes
3-room,Blk 172A,Chinese,#17:1,"$353,000 - $401,400",Important notes
3-room,Blk 172A,Indian/ Other Races,#17:1,"$353,000 - $401,400",Important notes
3-room,Blk 172A,Malay,#17:1,"$353,000 - $401,400",Important notes
