flat_type,block,ethnicity,floor_data,price_range,project
4-room,Blk 128B,Chinese,#05:1; #06:1,"$524,000 - $595,000",Important notes
4-room,Blk 129A,Chinese,#01:1,"$524,000 - $595,000",Important notes
4-room,Blk 129B,Chinese,#07:1; #12:1,"$524,000 - $595,000",Important notes
4-room,Blk 129C,Chinese,#05:1; #07:1; #08:1,"$524,000 - $595,000",Important notes
4-room,Blk 128B,Indian/ Other Races,#05:1; #06:1,"$524,000 - $595,000",Important notes
4-room,Blk 129A,Indian/ Other Races,#01:1,"$524,000 - $595,000",Important notes
4-room,Blk 129B,Indian/ Other Races,#07:1; #12:1,"$524,000 - $595,000",Important notes
4-room,Blk 129C,Indian/ Other Races,#05:1; #07:1; #08:1,"$524,000 - $595,000",Important notes
4-room,Blk 128B,Malay,#05:1; #06:1,"$524,000 - $595,000",Important notes
4-room,Blk 129A,Malay,#01:1,"$524,000 - $595,000",Important notes
4-room,Blk 129B,Malay,#07:1; #12:1,"$524,000 - $595,000",Important notes
4-room,Blk 129C,Malay,#05:1; #07:1; #08:1,"$524,000 - $595,000",Important notes
