flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 27A,Chinese,#16:1; #21:1,"$516,300 - $526,300",Important notes
3-room,Blk 27A,Indian/ Other Races,#16:1; #21:1,"$516,300 - $526,300",Important notes
3-room,Blk 27A,Malay,#16:1; #21:1,"$516,300 - $526,300",Important notes
4-room,Blk 27A,Chinese,#05:1; #08:1; #16:1; #22:1,"$673,400 - $746,100",Important notes
4-room,Blk 28A,Chinese,#06:2,"$673,400 - $746,100",Important notes
4-room,Blk 29A,Chinese,#06:1; #21:1; #25:1,"$673,400 - $746,100",Important notes
4-room,Blk 31A,Chinese,#05:1; #06:1; #14:1; #19:1,"$673,400 - $746,100",Important notes
4-room,Blk 27A,Indian/ Other Races,#05:1; #08:1; #16:1; #22:1,"$673,400 - $746,100",Important notes
4-room,Blk 28A,Indian/ Other Races,#06:2,"$673,400 - $746,100",Important notes
4-room,Blk 29A,Indian/ Other Races,#06:1; #21:1; #25:1,"$673,400 - $746,100",Important notes
4-room,Blk 31A,Indian/ Other Races,#05:1; #06:1; #14:1; #19:1,"$673,400 - $746,100",Important notes
4-room,Blk 27A,Malay,#05:1; #08:1; #16:1; #22:1,"$673,400 - $746,100",Important notes
4-room,Blk 28A,Malay,#06:2,"$673,400 - $746,100",Important notes
4-room,Blk 29A,Malay,#06:1; #21:1; #25:1,"$673,400 - $746,100",Important notes
4-room,Blk 31A,Malay,#05:1; #06:1; #14:1; #19:1,"$673,400 - $746,100",Important notes
