flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 372B,Chinese,#08:1,"$71,500 - $229,100",Important notes
2-room Flexi,Blk 373B,Chinese,#04:1,"$71,500 - $229,100",Important notes
2-room Flexi,Blk 372B,Indian/ Other Races,#08:1,"$71,500 - $229,100",Important notes
2-room Flexi,Blk 373B,Indian/ Other Races,#04:1,"$71,500 - $229,100",Important notes
2-room Flexi,Blk 372B,Malay,#08:1,"$71,500 - $229,100",Important notes
2-room Flexi,Blk 373B,Malay,#04:1,"$71,500 - $229,100",Important notes
3-room,Blk 370B,Chinese,#09:1; #10:1,"$318,500 - $325,300",Important notes
3-room,Blk 371B,Chinese,#06:2,"$318,500 - $325,300",Important notes
3-room,Blk 370B,Indian/ Other Races,#09:1; #10:1,"$318,500 - $325,300",Important notes
3-room,Blk 371B,Indian/ Other Races,#06:2,"$318,500 - $325,300",Important notes
3-room,Blk 370B,Malay,#09:1; #10:1,"$318,500 - $325,300",Important notes
3-room,Blk 371B,Malay,#06:2,"$318,500 - $325,300",Important notes
5-room,Blk 370A,Chinese,#04:1,"$540,600 - $558,300",Important notes
5-room,Blk 370B,Chinese,#02:1; #03:1,"$540,600 - $558,300",Important notes
5-room,Blk 371A,Chinese,#03:1,"$540,600 - $558,300",Important notes
5-room,Blk 370A,Indian/ Other Races,#04:1,"$540,600 - $558,300",Important notes
5-room,Blk 370B,Indian/ Other Races,#02:1; #03:1,"$540,600 - $558,300",Important notes
5-room,Blk 371A,Indian/ Other Races,#03:1,"$540,600 - $558,300",Important notes
5-room,Blk 370A,Malay,#04:1,"$540,600 - $558,300",Important notes
5-room,Blk 370B,Malay,#02:1; #03:1,"$540,600 - $558,300",Important notes
5-room,Blk 371A,Malay,#03:1,"$540,600 - $558,300",Important notes
