flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 962A,Chinese,#07:1,"$94,600 - $263,700",Important notes
2-room Flexi,Blk 962A,Indian/ Other Races,#07:1,"$94,600 - $263,700",Important notes
2-room Flexi,Blk 962A,Malay,#07:1,"$94,600 - $263,700",Important notes
4-room,Blk 960A,Chinese,#12:1,"$553,400 - $603,000",Important notes
4-room,Blk 961B,Chinese,#03:1; #08:1; #16:1,"$553,400 - $603,000",Important notes
4-room,Blk 962A,Chinese,#11:1; #14:1,"$553,400 - $603,000",Important notes
4-room,Blk 960A,Indian/ Other Races,#12:1,"$553,400 - $603,000",Important notes
4-room,Blk 961B,Indian/ Other Races,#03:1; #08:1; #16:1,"$553,400 - $603,000",Important notes
4-room,Blk 962A,Indian/ Other Races,#11:1; #14:1,"$553,400 - $603,000",Important notes
4-room,Blk 960A,Malay,#12:1,"$553,400 - $603,000",Important notes
4-room,Blk 961B,Malay,#03:1; #08:1; #16:1,"$553,400 - $603,000",Important notes
