flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 965A,Chinese,#07:1,"$278,000 - $449,800",Important notes
3-room,Blk 965A,Indian/ Other Races,#07:1,"$278,000 - $449,800",Important notes
3-room,Blk 965A,Malay,#07:1,"$278,000 - $449,800",Important notes
4-room,Blk 963B,Chinese,#02:1; #16:1,"$523,200 - $577,900",Important notes
4-room,Blk 965A,Chinese,#06:1,"$523,200 - $577,900",Important notes
4-room,Blk 965D,Chinese,#14:1,"$523,200 - $577,900",Important notes
4-room,Blk 963B,Indian/ Other Races,#02:1; #16:1,"$523,200 - $577,900",Important notes
4-room,Blk 965A,Indian/ Other Races,#06:1,"$523,200 - $577,900",Important notes
4-room,Blk 965D,Indian/ Other Races,#14:1,"$523,200 - $577,900",Important notes
4-room,Blk 963B,Malay,#02:1; #16:1,"$523,200 - $577,900",Important notes
4-room,Blk 965A,Malay,#06:1,"$523,200 - $577,900",Important notes
4-room,Blk 965D,Malay,#14:1,"$523,200 - $577,900",Important notes
5-room,Blk 963B,Chinese,#04:1,"$686,200 - $731,700",Important notes
5-room,Blk 963C,Chinese,#08:1,"$686,200 - $731,700",Important notes
5-room,Blk 963D,Chinese,#10:1,"$686,200 - $731,700",Important notes
5-room,Blk 965A,Chinese,#08:1,"$686,200 - $731,700",Important notes
5-room,Blk 965C,Chinese,#11:1,"$686,200 - $731,700",Important notes
5-room,Blk 965D,Chinese,#09:1,"$686,200 - $731,700",Important notes
5-room,Blk 963B,Indian/ Other Races,#04:1,"$686,200 - $731,700",Important notes
5-room,Blk 963C,Indian/ Other Races,#08:1,"$686,200 - $731,700",Important notes
5-room,Blk 963D,Indian/ Other Races,#10:1,"$686,200 - $731,700",Important notes
5-room,Blk 965A,Indian/ Other Races,#08:1,"$686,200 - $731,700",Important notes
5-room,Blk 965C,Indian/ Other Races,#11:1,"$686,200 - $731,700",Important notes
5-room,Blk 965D,Indian/ Other Races,#09:1,"$686,200 - $731,700",Important notes
5-room,Blk 963B,Malay,#04:1,"$686,200 - $731,700",Important notes
5-room,Blk 963C,Malay,#08:1,"$686,200 - $731,700",Important notes
5-room,Blk 963D,Malay,#10:1,"$686,200 - $731,700",Important notes
5-room,Blk 965A,Malay,#08:1,"$686,200 - $731,700",Important notes
5-room,Blk 965C,Malay,#11:1,"$686,200 - $731,700",Important notes
5-room,Blk 965D,Malay,#09:1,"$686,200 - $731,700",Important notes
