project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 970A, Blk 972B",#06:1; #13:1,2,"$96,500 - $282,600"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 970A, Blk 972B",#06:1; #13:1,2,"$96,500 - $282,600"
Important notes,2-room Flexi,Malay,"Blk 970A, Blk 972B",#06:1; #13:1,2,"$96,500 - $282,600"
Important notes,3-room,Chinese,Blk 970A,#06:1,1,"$278,000 - $449,800"
Important notes,3-room,Indian/ Other Races,Blk 970A,#06:1,1,"$278,000 - $449,800"
Important notes,4-room,Chinese,"Blk 967A, Blk 969D, Blk 970A, Blk 970B",#08:1; #09:1; #13:1; #14:1; #15:1,5,"$610,200 - $631,800"
Important notes,4-room,Indian/ Other Races,"Blk 967A, Blk 969D, Blk 970A, Blk 970B",#08:1; #09:1; #13:1; #14:1; #15:1,5,"$610,200 - $631,800"
Important notes,4-room,Malay,"Blk 967A, Blk 969D, Blk 970A, Blk 970B",#08:1; #09:1; #13:1; #14:1; #15:1,5,"$610,200 - $631,800"
Important notes,5-room,Chinese,"Blk 967A, Blk 967B, Blk 967C, Blk 967D, Blk 969B, Blk 972C",#05:1; #06:1; #07:1; #08:1; #09:1; #16:1,6,"$735,800 - $769,900"
Important notes,5-room,Indian/ Other Races,"Blk 967A, Blk 967B, Blk 967C, Blk 967D, Blk 969B, Blk 972C",#05:1; #06:1; #07:1; #08:1; #09:1; #16:1,6,"$735,800 - $769,900"
Important notes,5-room,Malay,"Blk 967A, Blk 967B, Blk 967C, Blk 967D, Blk 969B, Blk 972C",#05:1; #06:1; #07:1; #08:1; #09:1; #16:1,6,"$735,800 - $769,900"
