flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 970A,Chinese,#06:1,"$96,500 - $282,600",Important notes
2-room Flexi,Blk 972B,Chinese,#13:1,"$96,500 - $282,600",Important notes
2-room Flexi,Blk 970A,Indian/ Other Races,#06:1,"$96,500 - $282,600",Important notes
2-room Flexi,Blk 972B,Indian/ Other Races,#13:1,"$96,500 - $282,600",Important notes
2-room Flexi,Blk 970A,Malay,#06:1,"$96,500 - $282,600",Important notes
2-room Flexi,Blk 972B,Malay,#13:1,"$96,500 - $282,600",Important notes
3-room,Blk 970A,Chinese,#06:1,"$278,000 - $449,800",Important notes
3-room,Blk 970A,Indian/ Other Races,#06:1,"$278,000 - $449,800",Important notes
4-room,Blk 967A,Chinese,#09:1,"$610,200 - $631,800",Important notes
4-room,Blk 969D,Chinese,#15:1,"$610,200 - $631,800",Important notes
4-room,Blk 970A,Chinese,#08:1; #14:1,"$610,200 - $631,800",Important notes
4-room,Blk 970B,Chinese,#13:1,"$610,200 - $631,800",Important notes
4-room,Blk 967A,Indian/ Other Races,#09:1,"$610,200 - $631,800",Important notes
4-room,Blk 969D,Indian/ Other Races,#15:1,"$610,200 - $631,800",Important notes
4-room,Blk 970A,Indian/ Other Races,#08:1; #14:1,"$610,200 - $631,800",Important notes
4-room,Blk 970B,Indian/ Other Races,#13:1,"$610,200 - $631,800",Important notes
4-room,Blk 967A,Malay,#09:1,"$610,200 - $631,800",Important notes
4-room,Blk 969D,Malay,#15:1,"$610,200 - $631,800",Important notes
4-room,Blk 970A,Malay,#08:1; #14:1,"$610,200 - $631,800",Important notes
4-room,Blk 970B,Malay,#13:1,"$610,200 - $631,800",Important notes
5-room,Blk 967A,Chinese,#06:1,"$735,800 - $769,900",Important notes
5-room,Blk 967B,Chinese,#05:1,"$735,800 - $769,900",Important notes
5-room,Blk 967C,Chinese,#08:1,"$735,800 - $769,900",Important notes
5-room,Blk 967D,Chinese,#07:1,"$735,800 - $769,900",Important notes
5-room,Blk 969B,Chinese,#16:1,"$735,800 - $769,900",Important notes
5-room,Blk 972C,Chinese,#09:1,"$735,800 - $769,900",Important notes
5-room,Blk 967A,Indian/ Other Races,#06:1,"$735,800 - $769,900",Important notes
5-room,Blk 967B,Indian/ Other Races,#05:1,"$735,800 - $769,900",Important notes
5-room,Blk 967C,Indian/ Other Races,#08:1,"$735,800 - $769,900",Important notes
5-room,Blk 967D,Indian/ Other Races,#07:1,"$735,800 - $769,900",Important notes
5-room,Blk 969B,Indian/ Other Races,#16:1,"$735,800 - $769,900",Important notes
5-room,Blk 972C,Indian/ Other Races,#09:1,"$735,800 - $769,900",Important notes
5-room,Blk 967A,Malay,#06:1,"$735,800 - $769,900",Important notes
5-room,Blk 967B,Malay,#05:1,"$735,800 - $769,900",Important notes
5-room,Blk 967C,Malay,#08:1,"$735,800 - $769,900",Important notes
5-room,Blk 967D,Malay,#07:1,"$735,800 - $769,900",Important notes
5-room,Blk 969B,Malay,#16:1,"$735,800 - $769,900",Important notes
5-room,Blk 972C,Malay,#09:1,"$735,800 - $769,900",Important notes
