flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 973A,Chinese,#05:1,"$88,800 - $278,700",Important notes
2-room Flexi,Blk 974A,Chinese,#05:1; #11:1,"$88,800 - $278,700",Important notes
2-room Flexi,Blk 973A,Indian/ Other Races,#05:1,"$88,800 - $278,700",Important notes
2-room Flexi,Blk 974A,Indian/ Other Races,#05:1; #11:1,"$88,800 - $278,700",Important notes
2-room Flexi,Blk 973A,Malay,#05:1,"$88,800 - $278,700",Important notes
2-room Flexi,Blk 974A,Malay,#05:1; #11:1,"$88,800 - $278,700",Important notes
4-room,Blk 973A,Chinese,#08:1,"$553,700 - $615,200",Important notes
4-room,Blk 973B,Chinese,#02:1; #06:1; #07:1,"$553,700 - $615,200",Important notes
4-room,Blk 974A,Chinese,#10:2,"$553,700 - $615,200",Important notes
4-room,Blk 973A,Indian/ Other Races,#08:1,"$553,700 - $615,200",Important notes
4-room,Blk 973B,Indian/ Other Races,#02:1; #06:1; #07:1,"$553,700 - $615,200",Important notes
4-room,Blk 974A,Indian/ Other Races,#10:2,"$553,700 - $615,200",Important notes
4-room,Blk 973A,Malay,#08:1,"$553,700 - $615,200",Important notes
4-room,Blk 973B,Malay,#02:1; #06:1; #07:1,"$553,700 - $615,200",Important notes
4-room,Blk 974A,Malay,#10:2,"$553,700 - $615,200",Important notes
5-room,Blk 973B,Chinese,#02:1,"$692,000 - $774,800",Important notes
5-room,Blk 974A,Chinese,#02:1; #09:1,"$692,000 - $774,800",Important notes
5-room,Blk 974B,Chinese,#06:1,"$692,000 - $774,800",Important notes
5-room,Blk 973B,Indian/ Other Races,#02:1,"$692,000 - $774,800",Important notes
5-room,Blk 974A,Indian/ Other Races,#02:1; #09:1,"$692,000 - $774,800",Important notes
5-room,Blk 974B,Indian/ Other Races,#06:1,"$692,000 - $774,800",Important notes
5-room,Blk 973B,Malay,#02:1,"$692,000 - $774,800",Important notes
5-room,Blk 974A,Malay,#02:1; #09:1,"$692,000 - $774,800",Important notes
5-room,Blk 974B,Malay,#06:1,"$692,000 - $774,800",Important notes
