flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 74B,Chinese,#02:1; #03:1,"$424,000 - $570,600",Important notes
3-room,Blk 75A,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #16:1; #17:1; #18:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #32:1; #34:1; #35:1; #37:1; #40:1; #42:1; #44:1,"$424,000 - $570,600",Important notes
3-room,Blk 75B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #10:1,"$424,000 - $570,600",Important notes
3-room,Blk 74B,Indian/ Other Races,#02:1; #03:1,"$424,000 - $570,600",Important notes
3-room,Blk 75A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #16:1; #17:1; #18:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #32:1; #34:1; #35:1; #37:1; #40:1; #42:1; #44:1,"$424,000 - $570,600",Important notes
3-room,Blk 75B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #10:1,"$424,000 - $570,600",Important notes
3-room,Blk 74B,Malay,#02:1; #03:1,"$424,000 - $570,600",Important notes
3-room,Blk 75A,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #16:1; #17:1; #18:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #32:1; #34:1; #35:1; #37:1; #40:1; #42:1; #44:1,"$424,000 - $570,600",Important notes
3-room,Blk 75B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #10:1,"$424,000 - $570,600",Important notes
4-room,Blk 74A,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #16:1; #17:1; #18:1; #19:1; #28:1; #30:1; #32:1; #36:1; #38:1; #41:1; #42:1; #46:1,"$613,900 - $779,300",Important notes
4-room,Blk 74B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #13:1; #18:1; #19:1; #25:1,"$613,900 - $779,300",Important notes
4-room,Blk 75A,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #16:1; #17:1; #19:1; #20:1; #23:1; #25:1; #28:1; #40:1; #43:1,"$613,900 - $779,300",Important notes
4-room,Blk 75B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #14:1; #16:1; #17:1; #20:1; #22:1; #23:1,"$613,900 - $779,300",Important notes
4-room,Blk 74A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #16:1; #17:1; #18:1; #19:1; #28:1; #30:1; #32:1; #36:1; #38:1; #41:1; #42:1; #46:1,"$613,900 - $779,300",Important notes
4-room,Blk 74B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #13:1; #18:1; #19:1; #25:1,"$613,900 - $779,300",Important notes
4-room,Blk 75A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #16:1; #17:1; #19:1; #20:1; #23:1; #25:1; #28:1; #40:1; #43:1,"$613,900 - $779,300",Important notes
4-room,Blk 75B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #14:1; #16:1; #17:1; #20:1; #22:1; #23:1,"$613,900 - $779,300",Important notes
4-room,Blk 74A,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #16:1; #17:1; #18:1; #19:1; #28:1; #30:1; #32:1; #36:1; #38:1; #41:1; #42:1; #46:1,"$613,900 - $779,300",Important notes
4-room,Blk 74B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #13:1; #18:1; #19:1; #25:1,"$613,900 - $779,300",Important notes
4-room,Blk 75A,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #16:1; #17:1; #19:1; #20:1; #23:1; #25:1; #28:1; #40:1; #43:1,"$613,900 - $779,300",Important notes
4-room,Blk 75B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #14:1; #16:1; #17:1; #20:1; #22:1; #23:1,"$613,900 - $779,300",Important notes
