flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 182C,Chinese,#06:1,"$72,100 - $227,100",Important notes
2-room Flexi,Blk 183C,Chinese,#05:1; #06:1; #07:1; #08:1,"$72,100 - $227,100",Important notes
2-room Flexi,Blk 182C,Indian/ Other Races,#06:1,"$72,100 - $227,100",Important notes
2-room Flexi,Blk 183C,Indian/ Other Races,#05:1; #06:1; #07:1; #08:1,"$72,100 - $227,100",Important notes
2-room Flexi,Blk 182C,Malay,#06:1,"$72,100 - $227,100",Important notes
2-room Flexi,Blk 183C,Malay,#05:1; #06:1; #07:1; #08:1,"$72,100 - $227,100",Important notes
4-room,Blk 181B,Chinese,#12:1,"$446,100 - $526,800",Important notes
4-room,Blk 182C,Chinese,#03:1,"$446,100 - $526,800",Important notes
4-room,Blk 183A,Chinese,#11:1,"$446,100 - $526,800",Important notes
4-room,Blk 181B,Indian/ Other Races,#12:1,"$446,100 - $526,800",Important notes
4-room,Blk 182C,Indian/ Other Races,#03:1,"$446,100 - $526,800",Important notes
4-room,Blk 183A,Indian/ Other Races,#11:1,"$446,100 - $526,800",Important notes
4-room,Blk 181B,Malay,#12:1,"$446,100 - $526,800",Important notes
4-room,Blk 182C,Malay,#03:1,"$446,100 - $526,800",Important notes
4-room,Blk 183A,Malay,#11:1,"$446,100 - $526,800",Important notes
