flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 402A,Chinese,#07:1; #31:1; #40:1,"$111,700 - $273,500",Important notes
2-room Flexi,Blk 402B,Chinese,#10:1; #12:1; #24:1; #40:1,"$111,700 - $273,500",Important notes
2-room Flexi,Blk 403B,Chinese,#12:1,"$111,700 - $273,500",Important notes
2-room Flexi,Blk 402A,Indian/ Other Races,#07:1; #31:1; #40:1,"$111,700 - $273,500",Important notes
2-room Flexi,Blk 402B,Indian/ Other Races,#10:1; #12:1; #24:1; #40:1,"$111,700 - $273,500",Important notes
2-room Flexi,Blk 403B,Indian/ Other Races,#12:1,"$111,700 - $273,500",Important notes
2-room Flexi,Blk 402A,Malay,#07:1; #31:1; #40:1,"$111,700 - $273,500",Important notes
2-room Flexi,Blk 402B,Malay,#10:1; #12:1; #24:1; #40:1,"$111,700 - $273,500",Important notes
2-room Flexi,Blk 403B,Malay,#12:1,"$111,700 - $273,500",Important notes
4-room,Blk 402A,Chinese,#12:1,"$839,700 - $898,500",Important notes
4-room,Blk 403B,Chinese,#02:1,"$839,700 - $898,500",Important notes
4-room,Blk 402A,Indian/ Other Races,#12:1,"$839,700 - $898,500",Important notes
4-room,Blk 403B,Indian/ Other Races,#02:1,"$839,700 - $898,500",Important notes
4-room,Blk 402A,Malay,#12:1,"$839,700 - $898,500",Important notes
4-room,Blk 403B,Malay,#02:1,"$839,700 - $898,500",Important notes
