flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 289A,Chinese,#09:1,"$53,700 - $235,500",Important notes
2-room Flexi,Blk 289B,Chinese,#10:1; #12:1; #25:1,"$53,700 - $235,500",Important notes
2-room Flexi,Blk 289C,Chinese,#14:1; #24:1,"$53,700 - $235,500",Important notes
2-room Flexi,Blk 289A,Indian/ Other Races,#09:1,"$53,700 - $235,500",Important notes
2-room Flexi,Blk 289B,Indian/ Other Races,#10:1; #12:1; #25:1,"$53,700 - $235,500",Important notes
2-room Flexi,Blk 289C,Indian/ Other Races,#14:1; #24:1,"$53,700 - $235,500",Important notes
2-room Flexi,Blk 289A,Malay,#09:1,"$53,700 - $235,500",Important notes
2-room Flexi,Blk 289B,Malay,#10:1; #12:1; #25:1,"$53,700 - $235,500",Important notes
2-room Flexi,Blk 289C,Malay,#14:1; #24:1,"$53,700 - $235,500",Important notes
4-room,Blk 289C,Chinese,#28:1; #31:1,"$545,800 - $548,500",Important notes
4-room,Blk 289C,Indian/ Other Races,#28:1; #31:1,"$545,800 - $548,500",Important notes
4-room,Blk 289C,Malay,#28:1; #31:1,"$545,800 - $548,500",Important notes
