flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 53A,Chinese,#02:2; #03:2; #04:2; #05:2; #06:2; #07:1; #08:2; #09:1; #10:2; #13:2; #17:1; #30:1,"$424,400 - $534,800",Important notes
3-room,Blk 54A,Chinese,#02:2; #03:2; #04:2; #05:2; #06:1; #07:1; #08:1; #09:2; #10:2; #11:2; #12:1; #13:2; #14:2; #15:1; #16:1; #17:2; #19:2; #21:1; #22:1; #23:1; #24:2; #25:2; #26:1; #27:1; #29:1; #30:1; #31:1; #32:1; #33:1; #34:1; #36:2; #37:1; #39:1,"$424,400 - $534,800",Important notes
3-room,Blk 53A,Indian/ Other Races,#02:2; #03:2; #04:2; #05:2; #06:2; #07:1; #08:2; #09:1; #10:2; #13:2; #17:1; #30:1,"$424,400 - $534,800",Important notes
3-room,Blk 54A,Indian/ Other Races,#02:2; #03:2; #04:2; #05:2; #06:1; #07:1; #08:1; #09:2; #10:2; #11:2; #12:1; #13:2; #14:2; #15:1; #16:1; #17:2; #19:2; #21:1; #22:1; #23:1; #24:2; #25:2; #26:1; #27:1; #29:1; #30:1; #31:1; #32:1; #33:1; #34:1; #36:2; #37:1; #39:1,"$424,400 - $534,800",Important notes
3-room,Blk 53A,Malay,#02:2; #03:2; #04:2; #05:2; #06:2; #07:1; #08:2; #09:1; #10:2; #13:2; #17:1; #30:1,"$424,400 - $534,800",Important notes
3-room,Blk 54A,Malay,#02:2; #03:2; #04:2; #05:2; #06:1; #07:1; #08:1; #09:2; #10:2; #11:2; #12:1; #13:2; #14:2; #15:1; #16:1; #17:2; #19:2; #21:1; #22:1; #23:1; #24:2; #25:2; #26:1; #27:1; #29:1; #30:1; #31:1; #32:1; #33:1; #34:1; #36:2; #37:1; #39:1,"$424,400 - $534,800",Important notes
4-room,Blk 53A,Chinese,#02:6; #03:8; #04:7; #05:3; #06:2; #07:2; #08:1; #09:1; #10:2; #11:1; #12:2; #14:1; #16:1; #20:1; #22:2; #23:2; #26:1; #27:1; #30:2; #31:2; #33:1; #39:2; #40:1; #41:1; #42:1,"$622,200 - $792,400",Important notes
4-room,Blk 54A,Chinese,#02:7; #03:4; #04:2; #07:2; #08:2; #09:3; #10:2; #11:3; #12:3; #17:2; #19:2; #20:1; #23:1; #25:1; #26:1; #27:2; #29:1; #30:1; #31:1; #33:2; #34:1; #38:1; #41:1; #43:1,"$622,200 - $792,400",Important notes
4-room,Blk 53A,Indian/ Other Races,#02:6; #03:8; #04:7; #05:3; #06:2; #07:2; #08:1; #09:1; #10:2; #11:1; #12:2; #14:1; #16:1; #20:1; #22:2; #23:2; #26:1; #27:1; #30:2; #31:2; #33:1; #39:2; #40:1; #41:1; #42:1,"$622,200 - $792,400",Important notes
4-room,Blk 54A,Indian/ Other Races,#02:7; #03:4; #04:2; #07:2; #08:2; #09:3; #10:2; #11:3; #12:3; #17:2; #19:2; #20:1; #23:1; #25:1; #26:1; #27:2; #29:1; #30:1; #31:1; #33:2; #34:1; #38:1; #41:1; #43:1,"$622,200 - $792,400",Important notes
4-room,Blk 53A,Malay,#02:6; #03:8; #04:7; #05:3; #06:2; #07:2; #08:1; #09:1; #10:2; #11:1; #12:2; #14:1; #16:1; #20:1; #22:2; #23:2; #26:1; #27:1; #30:2; #31:2; #33:1; #39:2; #40:1; #41:1; #42:1,"$622,200 - $792,400",Important notes
4-room,Blk 54A,Malay,#02:7; #03:4; #04:2; #07:2; #08:2; #09:3; #10:2; #11:3; #12:3; #17:2; #19:2; #20:1; #23:1; #25:1; #26:1; #27:2; #29:1; #30:1; #31:1; #33:2; #34:1; #38:1; #41:1; #43:1,"$622,200 - $792,400",Important notes
