flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 64A,Chinese,#04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1; #33:1; #34:1; #36:1; #37:1; #38:1; #39:1; #40:1; #42:1,"$480,900 - $589,500",Important notes
3-room,Blk 65A,Chinese,#06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1,"$480,900 - $589,500",Important notes
3-room,Blk 65B,Chinese,#03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1; #33:1; #34:1; #36:1; #37:1; #38:1; #39:1; #40:1; #41:1; #42:1; #43:1; #44:1,"$480,900 - $589,500",Important notes
3-room,Blk 64A,Indian/ Other Races,#04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1; #33:1; #34:1; #36:1; #37:1; #38:1; #39:1; #40:1; #42:1,"$480,900 - $589,500",Important notes
3-room,Blk 65A,Indian/ Other Races,#06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1,"$480,900 - $589,500",Important notes
3-room,Blk 65B,Indian/ Other Races,#03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1; #33:1; #34:1; #36:1; #37:1; #38:1; #39:1; #40:1; #41:1; #42:1; #43:1; #44:1,"$480,900 - $589,500",Important notes
3-room,Blk 64A,Malay,#04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1; #33:1; #34:1; #36:1; #37:1; #38:1; #39:1; #40:1; #42:1,"$480,900 - $589,500",Important notes
3-room,Blk 65A,Malay,#06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1,"$480,900 - $589,500",Important notes
3-room,Blk 65B,Malay,#03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1; #33:1; #34:1; #36:1; #37:1; #38:1; #39:1; #40:1; #41:1; #42:1; #43:1; #44:1,"$480,900 - $589,500",Important notes
4-room,Blk 64A,Chinese,#04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #36:1; #41:1; #42:1,"$652,100 - $816,800",Important notes
4-room,Blk 65A,Chinese,#04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #24:1; #28:1; #31:1; #33:1; #34:1,"$652,100 - $816,800",Important notes
4-room,Blk 65B,Chinese,#03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #27:1; #41:1; #43:1; #45:1,"$652,100 - $816,800",Important notes
4-room,Blk 64A,Indian/ Other Races,#04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #36:1; #41:1; #42:1,"$652,100 - $816,800",Important notes
4-room,Blk 65A,Indian/ Other Races,#04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #24:1; #28:1; #31:1; #33:1; #34:1,"$652,100 - $816,800",Important notes
4-room,Blk 65B,Indian/ Other Races,#03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #27:1; #41:1; #43:1; #45:1,"$652,100 - $816,800",Important notes
4-room,Blk 64A,Malay,#04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #23:1; #24:1; #36:1; #41:1; #42:1,"$652,100 - $816,800",Important notes
4-room,Blk 65A,Malay,#04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #24:1; #28:1; #31:1; #33:1; #34:1,"$652,100 - $816,800",Important notes
4-room,Blk 65B,Malay,#03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #27:1; #41:1; #43:1; #45:1,"$652,100 - $816,800",Important notes
