project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 903A, Blk 903B",#18:1; #22:1,2,"$74,500 - $272,000"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 903A, Blk 903B",#18:1; #22:1,2,"$74,500 - $272,000"
Important notes,2-room Flexi,Malay,"Blk 903A, Blk 903B",#18:1; #22:1,2,"$74,500 - $272,000"
Important notes,3-room,Chinese,"Blk 903A, Blk 903B",#05:1; #11:1; #21:1,3,"$331,600 - $397,200"
Important notes,3-room,Indian/ Other Races,"Blk 903A, Blk 903B",#05:1; #11:1; #21:1,3,"$331,600 - $397,200"
Important notes,3-room,Malay,"Blk 903A, Blk 903B",#05:1; #11:1; #21:1,3,"$331,600 - $397,200"
Important notes,4-room,Chinese,Blk 903B,#10:1; #17:1,2,"$504,700 - $519,400"
Important notes,4-room,Indian/ Other Races,Blk 903B,#10:1; #17:1,2,"$504,700 - $519,400"
Important notes,4-room,Malay,Blk 903B,#10:1; #17:1,2,"$504,700 - $519,400"
Important notes,5-room,Chinese,"Blk 903A, Blk 903B, Blk 904A",#02:1; #06:1; #15:1; #18:1; #21:1; #23:1,6,"$575,700 - $666,700"
Important notes,5-room,Indian/ Other Races,"Blk 903A, Blk 903B, Blk 904A",#02:1; #06:1; #15:1; #18:1; #21:1; #23:1,6,"$575,700 - $666,700"
Important notes,5-room,Malay,"Blk 903A, Blk 903B, Blk 904A",#02:1; #06:1; #15:1; #18:1; #21:1; #23:1,6,"$575,700 - $666,700"
