flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 903A,Chinese,#22:1,"$74,500 - $272,000",Important notes
2-room Flexi,Blk 903B,Chinese,#18:1,"$74,500 - $272,000",Important notes
2-room Flexi,Blk 903A,Indian/ Other Races,#22:1,"$74,500 - $272,000",Important notes
2-room Flexi,Blk 903B,Indian/ Other Races,#18:1,"$74,500 - $272,000",Important notes
2-room Flexi,Blk 903A,Malay,#22:1,"$74,500 - $272,000",Important notes
2-room Flexi,Blk 903B,Malay,#18:1,"$74,500 - $272,000",Important notes
3-room,Blk 903A,Chinese,#11:1,"$331,600 - $397,200",Important notes
3-room,Blk 903B,Chinese,#05:1; #21:1,"$331,600 - $397,200",Important notes
3-room,Blk 903A,Indian/ Other Races,#11:1,"$331,600 - $397,200",Important notes
3-room,Blk 903B,Indian/ Other Races,#05:1; #21:1,"$331,600 - $397,200",Important notes
3-room,Blk 903A,Malay,#11:1,"$331,600 - $397,200",Important notes
3-room,Blk 903B,Malay,#05:1; #21:1,"$331,600 - $397,200",Important notes
4-room,Blk 903B,Chinese,#10:1; #17:1,"$504,700 - $519,400",Important notes
4-room,Blk 903B,Indian/ Other Races,#10:1; #17:1,"$504,700 - $519,400",Important notes
4-room,Blk 903B,Malay,#10:1; #17:1,"$504,700 - $519,400",Important notes
5-room,Blk 903A,Chinese,#02:1; #15:1; #21:1,"$575,700 - $666,700",Important notes
5-room,Blk 903B,Chinese,#18:1,"$575,700 - $666,700",Important notes
5-room,Blk 904A,Chinese,#06:1; #23:1,"$575,700 - $666,700",Important notes
5-room,Blk 903A,Indian/ Other Races,#02:1; #15:1; #21:1,"$575,700 - $666,700",Important notes
5-room,Blk 903B,Indian/ Other Races,#18:1,"$575,700 - $666,700",Important notes
5-room,Blk 904A,Indian/ Other Races,#06:1; #23:1,"$575,700 - $666,700",Important notes
5-room,Blk 903A,Malay,#02:1; #15:1; #21:1,"$575,700 - $666,700",Important notes
5-room,Blk 903B,Malay,#18:1,"$575,700 - $666,700",Important notes
5-room,Blk 904A,Malay,#06:1; #23:1,"$575,700 - $666,700",Important notes
