flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 907B,Chinese,#21:1,"$92,200 - $279,400",Important notes
2-room Flexi,Blk 907C,Chinese,#09:1,"$92,200 - $279,400",Important notes
2-room Flexi,Blk 909A,Chinese,#03:1,"$92,200 - $279,400",Important notes
2-room Flexi,Blk 907B,Indian/ Other Races,#21:1,"$92,200 - $279,400",Important notes
2-room Flexi,Blk 907C,Indian/ Other Races,#09:1,"$92,200 - $279,400",Important notes
2-room Flexi,Blk 909A,Indian/ Other Races,#03:1,"$92,200 - $279,400",Important notes
2-room Flexi,Blk 907B,Malay,#21:1,"$92,200 - $279,400",Important notes
2-room Flexi,Blk 907C,Malay,#09:1,"$92,200 - $279,400",Important notes
2-room Flexi,Blk 909A,Malay,#03:1,"$92,200 - $279,400",Important notes
4-room,Blk 907C,Chinese,#02:1,"$479,200 - $508,300",Important notes
4-room,Blk 908B,Chinese,#05:1,"$479,200 - $508,300",Important notes
4-room,Blk 907C,Indian/ Other Races,#02:1,"$479,200 - $508,300",Important notes
4-room,Blk 908B,Indian/ Other Races,#05:1,"$479,200 - $508,300",Important notes
4-room,Blk 907C,Malay,#02:1,"$479,200 - $508,300",Important notes
4-room,Blk 908B,Malay,#05:1,"$479,200 - $508,300",Important notes
5-room,Blk 907A,Chinese,#10:1; #18:1,"$663,700 - $715,300",Important notes
5-room,Blk 908B,Chinese,#10:1; #12:1; #20:1,"$663,700 - $715,300",Important notes
5-room,Blk 909B,Chinese,#16:1,"$663,700 - $715,300",Important notes
5-room,Blk 909C,Chinese,#23:1; #27:1,"$663,700 - $715,300",Important notes
5-room,Blk 907A,Indian/ Other Races,#10:1; #18:1,"$663,700 - $715,300",Important notes
5-room,Blk 908B,Indian/ Other Races,#10:1; #12:1; #20:1,"$663,700 - $715,300",Important notes
5-room,Blk 909B,Indian/ Other Races,#16:1,"$663,700 - $715,300",Important notes
5-room,Blk 909C,Indian/ Other Races,#23:1; #27:1,"$663,700 - $715,300",Important notes
5-room,Blk 907A,Malay,#10:1; #18:1,"$663,700 - $715,300",Important notes
5-room,Blk 908B,Malay,#10:1; #12:1; #20:1,"$663,700 - $715,300",Important notes
5-room,Blk 909B,Malay,#16:1,"$663,700 - $715,300",Important notes
5-room,Blk 909C,Malay,#23:1; #27:1,"$663,700 - $715,300",Important notes
