project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 522B, Blk 523A, Blk 524C, Blk 524D, Blk 524E",#02:2; #04:1; #06:1; #08:2; #09:2; #10:2; #11:1; #13:1; #14:2,14,"$50,900 - $193,900"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 522B, Blk 523A, Blk 524C, Blk 524D, Blk 524E",#02:2; #04:1; #06:1; #08:2; #09:2; #10:2; #11:1; #13:1; #14:2,14,"$50,900 - $193,900"
Important notes,2-room Flexi,Malay,"Blk 522B, Blk 523A, Blk 524C, Blk 524D, Blk 524E",#02:2; #04:1; #06:1; #08:2; #09:2; #10:2; #11:1; #13:1; #14:2,14,"$50,900 - $193,900"
Important notes,3-room,Chinese,"Blk 522C, Blk 523A, Blk 524B, Blk 524E",#02:1; #05:1; #09:1; #10:1; #13:1,5,"$282,300 - $311,400"
Important notes,3-room,Indian/ Other Races,"Blk 522C, Blk 523A, Blk 524B, Blk 524E",#02:1; #05:1; #09:1; #10:1; #13:1,5,"$282,300 - $311,400"
Important notes,3-room,Malay,"Blk 522C, Blk 523A, Blk 524B, Blk 524E",#02:1; #05:1; #09:1; #10:1; #13:1,5,"$282,300 - $311,400"
Important notes,4-room,Chinese,"Blk 522A, Blk 522B, Blk 523B, Blk 524A, Blk 524B, Blk 524C, Blk 524D",#06:1; #07:2; #08:2; #11:2; #12:2; #13:2; #14:2,13,"$369,300 - $395,800"
Important notes,4-room,Indian/ Other Races,"Blk 522A, Blk 522B, Blk 523B, Blk 524A, Blk 524B, Blk 524C, Blk 524D",#06:1; #07:2; #08:2; #11:2; #12:2; #13:2; #14:2,13,"$369,300 - $395,800"
Important notes,4-room,Malay,"Blk 522A, Blk 522B, Blk 523B, Blk 524A, Blk 524B, Blk 524C, Blk 524D",#06:1; #07:2; #08:2; #11:2; #12:2; #13:2; #14:2,13,"$369,300 - $395,800"
Important notes,5-room,Chinese,"Blk 522A, Blk 522C, Blk 524A, Blk 524B, Blk 524C, Blk 524D",#04:2; #06:1; #07:1; #08:1; #09:2; #10:3; #11:1; #12:1; #13:2; #14:2,16,"$497,400 - $544,300"
Important notes,5-room,Indian/ Other Races,"Blk 522A, Blk 522C, Blk 524A, Blk 524B, Blk 524C, Blk 524D",#04:2; #06:1; #07:1; #08:1; #09:2; #10:3; #11:1; #12:1; #13:2; #14:2,16,"$497,400 - $544,300"
Important notes,5-room,Malay,"Blk 522A, Blk 522C, Blk 524A, Blk 524B, Blk 524C, Blk 524D",#04:2; #06:1; #07:1; #08:1; #09:2; #10:3; #11:1; #12:1; #13:2; #14:2,16,"$497,400 - $544,300"
