flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 522B,Chinese,#02:1; #04:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 523A,Chinese,#14:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 524C,Chinese,#09:1; #11:1; #13:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 524D,Chinese,#08:1; #10:1; #14:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 524E,Chinese,#02:1; #06:1; #08:1; #09:1; #10:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 522B,Indian/ Other Races,#02:1; #04:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 523A,Indian/ Other Races,#14:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 524C,Indian/ Other Races,#09:1; #11:1; #13:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 524D,Indian/ Other Races,#08:1; #10:1; #14:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 524E,Indian/ Other Races,#02:1; #06:1; #08:1; #09:1; #10:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 522B,Malay,#02:1; #04:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 523A,Malay,#14:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 524C,Malay,#09:1; #11:1; #13:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 524D,Malay,#08:1; #10:1; #14:1,"$50,900 - $193,900",Important notes
2-room Flexi,Blk 524E,Malay,#02:1; #06:1; #08:1; #09:1; #10:1,"$50,900 - $193,900",Important notes
3-room,Blk 522C,Chinese,#05:1; #13:1,"$282,300 - $311,400",Important notes
3-room,Blk 523A,Chinese,#10:1,"$282,300 - $311,400",Important notes
3-room,Blk 524B,Chinese,#09:1,"$282,300 - $311,400",Important notes
3-room,Blk 524E,Chinese,#02:1,"$282,300 - $311,400",Important notes
3-room,Blk 522C,Indian/ Other Races,#05:1; #13:1,"$282,300 - $311,400",Important notes
3-room,Blk 523A,Indian/ Other Races,#10:1,"$282,300 - $311,400",Important notes
3-room,Blk 524B,Indian/ Other Races,#09:1,"$282,300 - $311,400",Important notes
3-room,Blk 524E,Indian/ Other Races,#02:1,"$282,300 - $311,400",Important notes
3-room,Blk 522C,Malay,#05:1; #13:1,"$282,300 - $311,400",Important notes
3-room,Blk 523A,Malay,#10:1,"$282,300 - $311,400",Important notes
3-room,Blk 524B,Malay,#09:1,"$282,300 - $311,400",Important notes
3-room,Blk 524E,Malay,#02:1,"$282,300 - $311,400",Important notes
4-room,Blk 522A,Chinese,#14:1,"$369,300 - $395,800",Important notes
4-room,Blk 522B,Chinese,#06:1; #08:1,"$369,300 - $395,800",Important notes
4-room,Blk 523B,Chinese,#07:1; #08:1; #11:1; #14:1,"$369,300 - $395,800",Important notes
4-room,Blk 524A,Chinese,#11:1; #12:1,"$369,300 - $395,800",Important notes
4-room,Blk 524B,Chinese,#07:1; #12:1,"$369,300 - $395,800",Important notes
4-room,Blk 524C,Chinese,#13:1,"$369,300 - $395,800",Important notes
4-room,Blk 524D,Chinese,#13:1,"$369,300 - $395,800",Important notes
4-room,Blk 522A,Indian/ Other Races,#14:1,"$369,300 - $395,800",Important notes
4-room,Blk 522B,Indian/ Other Races,#06:1; #08:1,"$369,300 - $395,800",Important notes
4-room,Blk 523B,Indian/ Other Races,#07:1; #08:1; #11:1; #14:1,"$369,300 - $395,800",Important notes
4-room,Blk 524A,Indian/ Other Races,#11:1; #12:1,"$369,300 - $395,800",Important notes
4-room,Blk 524B,Indian/ Other Races,#07:1; #12:1,"$369,300 - $395,800",Important notes
4-room,Blk 524C,Indian/ Other Races,#13:1,"$369,300 - $395,800",Important notes
4-room,Blk 524D,Indian/ Other Races,#13:1,"$369,300 - $395,800",Important notes
4-room,Blk 522A,Malay,#14:1,"$369,300 - $395,800",Important notes
4-room,Blk 522B,Malay,#06:1; #08:1,"$369,300 - $395,800",Important notes
4-room,Blk 523B,Malay,#07:1; #08:1; #11:1; #14:1,"$369,300 - $395,800",Important notes
4-room,Blk 524A,Malay,#11:1; #12:1,"$369,300 - $395,800",Important notes
4-room,Blk 524B,Malay,#07:1; #12:1,"$369,300 - $395,800",Important notes
4-room,Blk 524C,Malay,#13:1,"$369,300 - $395,800",Important notes
4-room,Blk 524D,Malay,#13:1,"$369,300 - $395,800",Important notes
5-room,Blk 522A,Chinese,#06:1; #09:1; #14:1,"$497,400 - $544,300",Important notes
5-room,Blk 522C,Chinese,#10:1; #14:1,"$497,400 - $544,300",Important notes
5-room,Blk 524A,Chinese,#04:1; #07:2; #10:1; #11:2; #12:1; #13:1,"$497,400 - $544,300",Important notes
5-room,Blk 524B,Chinese,#09:1,"$497,400 - $544,300",Important notes
5-room,Blk 524C,Chinese,#04:1; #08:1,"$497,400 - $544,300",Important notes
5-room,Blk 524D,Chinese,#10:2; #13:1,"$497,400 - $544,300",Important notes
5-room,Blk 522A,Indian/ Other Races,#06:1; #09:1; #14:1,"$497,400 - $544,300",Important notes
5-room,Blk 522C,Indian/ Other Races,#10:1; #14:1,"$497,400 - $544,300",Important notes
5-room,Blk 524A,Indian/ Other Races,#04:1; #07:2; #10:1; #11:2; #12:1; #13:1,"$497,400 - $544,300",Important notes
5-room,Blk 524B,Indian/ Other Races,#09:1,"$497,400 - $544,300",Important notes
