flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 117A,Chinese,#03:1; #05:1; #07:1; #09:1; #10:1; #11:1; #15:1; #16:1; #17:1; #20:1; #23:1,"$78,500 - $339,800",Important notes
2-room Flexi,Blk 117A,Indian/ Other Races,#03:1; #05:1; #07:1; #09:1; #10:1; #11:1; #15:1; #16:1; #17:1; #20:1; #23:1,"$78,500 - $339,800",Important notes
2-room Flexi,Blk 117A,Malay,#03:1; #05:1; #07:1; #09:1; #10:1; #11:1; #15:1; #16:1; #17:1; #20:1; #23:1,"$78,500 - $339,800",Important notes
3-room,Blk 116A,Chinese,#03:1; #04:1; #08:1; #10:1; #14:1; #24:1,"$430,900 - $520,000",Important notes
3-room,Blk 117A,Chinese,#07:1; #21:1; #27:1; #28:1,"$430,900 - $520,000",Important notes
3-room,Blk 116A,Indian/ Other Races,#03:1; #04:1; #08:1; #10:1; #14:1; #24:1,"$430,900 - $520,000",Important notes
3-room,Blk 117A,Indian/ Other Races,#07:1; #21:1; #27:1; #28:1,"$430,900 - $520,000",Important notes
3-room,Blk 116A,Malay,#03:1; #04:1; #08:1; #10:1; #14:1; #24:1,"$430,900 - $520,000",Important notes
3-room,Blk 117A,Malay,#07:1; #21:1; #27:1; #28:1,"$430,900 - $520,000",Important notes
4-room,Blk 116A,Chinese,#02:1; #03:1; #04:1; #05:1; #07:1; #09:1; #10:1; #16:1; #23:1; #24:1,"$627,300 - $767,900",Important notes
4-room,Blk 116B,Chinese,#02:1; #04:1; #06:1; #07:1; #10:1; #14:1; #16:1; #20:1; #24:1; #28:1,"$627,300 - $767,900",Important notes
4-room,Blk 117A,Chinese,#02:1; #28:1,"$627,300 - $767,900",Important notes
4-room,Blk 117B,Chinese,#02:1; #03:1; #06:1; #08:1; #11:1; #15:1; #20:1; #21:1; #24:1; #25:1; #26:1; #28:1,"$627,300 - $767,900",Important notes
4-room,Blk 117C,Chinese,#02:1; #03:1; #04:1; #09:1; #10:1; #11:1; #13:1; #18:1; #21:1; #24:1; #27:1,"$627,300 - $767,900",Important notes
4-room,Blk 116A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #07:1; #09:1; #10:1; #16:1; #23:1; #24:1,"$627,300 - $767,900",Important notes
4-room,Blk 116B,Indian/ Other Races,#02:1; #04:1; #06:1; #07:1; #10:1; #14:1; #16:1; #20:1; #24:1; #28:1,"$627,300 - $767,900",Important notes
4-room,Blk 117A,Indian/ Other Races,#02:1; #28:1,"$627,300 - $767,900",Important notes
4-room,Blk 117B,Indian/ Other Races,#02:1; #03:1; #06:1; #08:1; #11:1; #15:1; #20:1; #21:1; #24:1; #25:1; #26:1; #28:1,"$627,300 - $767,900",Important notes
4-room,Blk 117C,Indian/ Other Races,#02:1; #03:1; #04:1; #09:1; #10:1; #11:1; #13:1; #18:1; #21:1; #24:1; #27:1,"$627,300 - $767,900",Important notes
4-room,Blk 116A,Malay,#02:1; #03:1; #04:1; #05:1; #07:1; #09:1; #10:1; #16:1; #23:1; #24:1,"$627,300 - $767,900",Important notes
4-room,Blk 116B,Malay,#02:1; #04:1; #06:1; #07:1; #10:1; #14:1; #16:1; #20:1; #24:1; #28:1,"$627,300 - $767,900",Important notes
4-room,Blk 117A,Malay,#02:1; #28:1,"$627,300 - $767,900",Important notes
4-room,Blk 117B,Malay,#02:1; #03:1; #06:1; #08:1; #11:1; #15:1; #20:1; #21:1; #24:1; #25:1; #26:1; #28:1,"$627,300 - $767,900",Important notes
4-room,Blk 117C,Malay,#02:1; #03:1; #04:1; #09:1; #10:1; #11:1; #13:1; #18:1; #21:1; #24:1; #27:1,"$627,300 - $767,900",Important notes
