project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 459B,#07:1; #08:1,2,"$63,800 - $244,300"
Important notes,2-room Flexi,Indian/ Other Races,Blk 459B,#07:1; #08:1,2,"$63,800 - $244,300"
Important notes,2-room Flexi,Malay,Blk 459B,#07:1; #08:1,2,"$63,800 - $244,300"
Important notes,3-room,Chinese,"Blk 457A, Blk 458B, Blk 459B",#05:1; #10:1; #12:2; #13:1; #14:1,6,"$356,000 - $377,100"
Important notes,3-room,Indian/ Other Races,"Blk 457A, Blk 458B, Blk 459B",#05:1; #10:1; #12:2; #13:1; #14:1,6,"$356,000 - $377,100"
Important notes,3-room,Malay,"Blk 457A, Blk 458B, Blk 459B",#05:1; #10:1; #12:2; #13:1; #14:1,6,"$356,000 - $377,100"
Important notes,3Gen,Chinese,"Blk 457A, Blk 458B, Blk 459A",#02:3; #03:3; #04:3; #05:3; #06:2; #07:1; #09:1; #10:1; #14:1,18,"$603,000 - $679,900"
Important notes,3Gen,Indian/ Other Races,"Blk 457A, Blk 458B, Blk 459A",#02:3; #03:3; #04:3; #05:3; #06:2; #07:1; #09:1; #10:1; #14:1,18,"$603,000 - $679,900"
Important notes,3Gen,Malay,"Blk 457A, Blk 458B, Blk 459A",#02:3; #03:3; #04:3; #05:3; #06:2; #07:1; #09:1; #10:1; #14:1,18,"$603,000 - $679,900"
Important notes,4-room,Chinese,"Blk 457A, Blk 459A, Blk 459B",#02:1; #07:1; #14:1,3,"$444,300 - $501,200"
Important notes,4-room,Indian/ Other Races,"Blk 457A, Blk 459A, Blk 459B",#02:1; #07:1; #14:1,3,"$444,300 - $501,200"
Important notes,4-room,Malay,"Blk 457A, Blk 459A, Blk 459B",#02:1; #07:1; #14:1,3,"$444,300 - $501,200"
