flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 459B,Chinese,#07:1; #08:1,"$63,800 - $244,300",Important notes
2-room Flexi,Blk 459B,Indian/ Other Races,#07:1; #08:1,"$63,800 - $244,300",Important notes
2-room Flexi,Blk 459B,Malay,#07:1; #08:1,"$63,800 - $244,300",Important notes
3-room,Blk 457A,Chinese,#05:1,"$356,000 - $377,100",Important notes
3-room,Blk 458B,Chinese,#12:1; #13:1; #14:1,"$356,000 - $377,100",Important notes
3-room,Blk 459B,Chinese,#10:1; #12:1,"$356,000 - $377,100",Important notes
3-room,Blk 457A,Indian/ Other Races,#05:1,"$356,000 - $377,100",Important notes
3-room,Blk 458B,Indian/ Other Races,#12:1; #13:1; #14:1,"$356,000 - $377,100",Important notes
3-room,Blk 459B,Indian/ Other Races,#10:1; #12:1,"$356,000 - $377,100",Important notes
3-room,Blk 457A,Malay,#05:1,"$356,000 - $377,100",Important notes
3-room,Blk 458B,Malay,#12:1; #13:1; #14:1,"$356,000 - $377,100",Important notes
3-room,Blk 459B,Malay,#10:1; #12:1,"$356,000 - $377,100",Important notes
3Gen,Blk 457A,Chinese,#02:1; #03:1; #04:1; #05:1,"$603,000 - $679,900",Important notes
3Gen,Blk 458B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #09:1; #10:1; #14:1,"$603,000 - $679,900",Important notes
3Gen,Blk 459A,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1,"$603,000 - $679,900",Important notes
3Gen,Blk 457A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1,"$603,000 - $679,900",Important notes
3Gen,Blk 458B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #09:1; #10:1; #14:1,"$603,000 - $679,900",Important notes
3Gen,Blk 459A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1,"$603,000 - $679,900",Important notes
3Gen,Blk 457A,Malay,#02:1; #03:1; #04:1; #05:1,"$603,000 - $679,900",Important notes
3Gen,Blk 458B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #09:1; #10:1; #14:1,"$603,000 - $679,900",Important notes
3Gen,Blk 459A,Malay,#02:1; #03:1; #04:1; #05:1; #06:1,"$603,000 - $679,900",Important notes
4-room,Blk 457A,Chinese,#14:1,"$444,300 - $501,200",Important notes
4-room,Blk 459A,Chinese,#07:1,"$444,300 - $501,200",Important notes
4-room,Blk 459B,Chinese,#02:1,"$444,300 - $501,200",Important notes
4-room,Blk 457A,Indian/ Other Races,#14:1,"$444,300 - $501,200",Important notes
4-room,Blk 459A,Indian/ Other Races,#07:1,"$444,300 - $501,200",Important notes
4-room,Blk 459B,Indian/ Other Races,#02:1,"$444,300 - $501,200",Important notes
4-room,Blk 457A,Malay,#14:1,"$444,300 - $501,200",Important notes
4-room,Blk 459A,Malay,#07:1,"$444,300 - $501,200",Important notes
4-room,Blk 459B,Malay,#02:1,"$444,300 - $501,200",Important notes
