project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 475A,#11:1; #12:1,2,"$78,400 - $229,400"
Important notes,2-room Flexi,Indian/ Other Races,Blk 475A,#11:1; #12:1,2,"$78,400 - $229,400"
Important notes,2-room Flexi,Malay,Blk 475A,#11:1; #12:1,2,"$78,400 - $229,400"
Important notes,3-room,Chinese,Blk 474A,#17:1,1,"$218,000 - $378,000"
Important notes,3-room,Indian/ Other Races,Blk 474A,#17:1,1,"$218,000 - $378,000"
Important notes,3-room,Malay,Blk 474A,#17:1,1,"$218,000 - $378,000"
Important notes,4-room,Chinese,Blk 474B,#09:1,1,"$254,000 - $501,200"
Important notes,4-room,Indian/ Other Races,Blk 474B,#09:1,1,"$254,000 - $501,200"
Important notes,4-room,Malay,Blk 474B,#09:1,1,"$254,000 - $501,200"
Important notes,5-room,Chinese,Blk 476A,#04:1,1,"$567,200 - $609,100"
Important notes,5-room,Indian/ Other Races,Blk 476A,#04:1,1,"$567,200 - $609,100"
Important notes,5-room,Malay,Blk 476A,#04:1,1,"$567,200 - $609,100"
