flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 475A,Chinese,#11:1; #12:1,"$78,400 - $229,400",Important notes
2-room Flexi,Blk 475A,Indian/ Other Races,#11:1; #12:1,"$78,400 - $229,400",Important notes
2-room Flexi,Blk 475A,Malay,#11:1; #12:1,"$78,400 - $229,400",Important notes
3-room,Blk 474A,Chinese,#17:1,"$218,000 - $378,000",Important notes
3-room,Blk 474A,Indian/ Other Races,#17:1,"$218,000 - $378,000",Important notes
3-room,Blk 474A,Malay,#17:1,"$218,000 - $378,000",Important notes
4-room,Blk 474B,Chinese,#09:1,"$254,000 - $501,200",Important notes
4-room,Blk 474B,Indian/ Other Races,#09:1,"$254,000 - $501,200",Important notes
4-room,Blk 474B,Malay,#09:1,"$254,000 - $501,200",Important notes
5-room,Blk 476A,Chinese,#04:1,"$567,200 - $609,100",Important notes
5-room,Blk 476A,Indian/ Other Races,#04:1,"$567,200 - $609,100",Important notes
5-room,Blk 476A,Malay,#04:1,"$567,200 - $609,100",Important notes
