project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 471B,#14:1,1,"$60,200 - $162,300"
Important notes,2-room Flexi,Indian/ Other Races,Blk 471B,#14:1,1,"$60,200 - $162,300"
Important notes,2-room Flexi,Malay,Blk 471B,#14:1,1,"$60,200 - $162,300"
Important notes,3-room,Chinese,Blk 471B,#10:1,1,"$218,000 - $378,000"
Important notes,3-room,Indian/ Other Races,Blk 471B,#10:1,1,"$218,000 - $378,000"
Important notes,3-room,Malay,Blk 471B,#10:1,1,"$218,000 - $378,000"
Important notes,4-room,Chinese,"Blk 470D, Blk 471A, Blk 471C",#06:1; #07:1; #11:1; #12:1; #14:1,5,"$424,900 - $469,000"
Important notes,4-room,Indian/ Other Races,"Blk 470D, Blk 471A, Blk 471C",#06:1; #07:1; #11:1; #12:1; #14:1,5,"$424,900 - $469,000"
Important notes,4-room,Malay,"Blk 470D, Blk 471A, Blk 471C",#06:1; #07:1; #11:1; #12:1; #14:1,5,"$424,900 - $469,000"
Important notes,5-room,Chinese,Blk 470A,#02:1; #05:1,2,"$567,200 - $598,600"
Important notes,5-room,Indian/ Other Races,Blk 470A,#02:1; #05:1,2,"$567,200 - $598,600"
Important notes,5-room,Malay,Blk 470A,#02:1; #05:1,2,"$567,200 - $598,600"
