flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 471B,Chinese,#14:1,"$60,200 - $162,300",Important notes
2-room Flexi,Blk 471B,Indian/ Other Races,#14:1,"$60,200 - $162,300",Important notes
2-room Flexi,Blk 471B,Malay,#14:1,"$60,200 - $162,300",Important notes
3-room,Blk 471B,Chinese,#10:1,"$218,000 - $378,000",Important notes
3-room,Blk 471B,Indian/ Other Races,#10:1,"$218,000 - $378,000",Important notes
3-room,Blk 471B,Malay,#10:1,"$218,000 - $378,000",Important notes
4-room,Blk 470D,Chinese,#11:1; #12:1,"$424,900 - $469,000",Important notes
4-room,Blk 471A,Chinese,#07:1,"$424,900 - $469,000",Important notes
4-room,Blk 471C,Chinese,#06:1; #14:1,"$424,900 - $469,000",Important notes
4-room,Blk 470D,Indian/ Other Races,#11:1; #12:1,"$424,900 - $469,000",Important notes
4-room,Blk 471A,Indian/ Other Races,#07:1,"$424,900 - $469,000",Important notes
4-room,Blk 471C,Indian/ Other Races,#06:1; #14:1,"$424,900 - $469,000",Important notes
4-room,Blk 470D,Malay,#11:1; #12:1,"$424,900 - $469,000",Important notes
4-room,Blk 471A,Malay,#07:1,"$424,900 - $469,000",Important notes
4-room,Blk 471C,Malay,#06:1; #14:1,"$424,900 - $469,000",Important notes
5-room,Blk 470A,Chinese,#02:1; #05:1,"$567,200 - $598,600",Important notes
5-room,Blk 470A,Indian/ Other Races,#02:1; #05:1,"$567,200 - $598,600",Important notes
5-room,Blk 470A,Malay,#02:1; #05:1,"$567,200 - $598,600",Important notes
