flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 374B,Chinese,#16:1,"$80,900 - $241,500",Important notes
2-room Flexi,Blk 374B,Indian/ Other Races,#16:1,"$80,900 - $241,500",Important notes
2-room Flexi,Blk 374B,Malay,#16:1,"$80,900 - $241,500",Important notes
4-room,Blk 372A,Chinese,#21:1,"$470,700 - $495,400",Important notes
4-room,Blk 372B,Chinese,#23:1,"$470,700 - $495,400",Important notes
4-room,Blk 373A,Chinese,#09:1,"$470,700 - $495,400",Important notes
4-room,Blk 374A,Chinese,#20:1,"$470,700 - $495,400",Important notes
4-room,Blk 374B,Chinese,#16:1,"$470,700 - $495,400",Important notes
4-room,Blk 372A,Indian/ Other Races,#21:1,"$470,700 - $495,400",Important notes
4-room,Blk 372B,Indian/ Other Races,#23:1,"$470,700 - $495,400",Important notes
4-room,Blk 373A,Indian/ Other Races,#09:1,"$470,700 - $495,400",Important notes
4-room,Blk 374A,Indian/ Other Races,#20:1,"$470,700 - $495,400",Important notes
4-room,Blk 374B,Indian/ Other Races,#16:1,"$470,700 - $495,400",Important notes
4-room,Blk 372A,Malay,#21:1,"$470,700 - $495,400",Important notes
4-room,Blk 372B,Malay,#23:1,"$470,700 - $495,400",Important notes
4-room,Blk 373A,Malay,#09:1,"$470,700 - $495,400",Important notes
4-room,Blk 374A,Malay,#20:1,"$470,700 - $495,400",Important notes
4-room,Blk 374B,Malay,#16:1,"$470,700 - $495,400",Important notes
5-room,Blk 372B,Chinese,#05:1,"$581,200 - $617,100",Important notes
5-room,Blk 373A,Chinese,#04:1; #06:1; #19:1,"$581,200 - $617,100",Important notes
5-room,Blk 372B,Indian/ Other Races,#05:1,"$581,200 - $617,100",Important notes
5-room,Blk 373A,Indian/ Other Races,#04:1; #06:1; #19:1,"$581,200 - $617,100",Important notes
5-room,Blk 372B,Malay,#05:1,"$581,200 - $617,100",Important notes
5-room,Blk 373A,Malay,#04:1; #06:1; #19:1,"$581,200 - $617,100",Important notes
