flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 450B,Chinese,#06:1,"$74,800 - $222,800",Important notes
2-room Flexi,Blk 452B,Chinese,#12:1,"$74,800 - $222,800",Important notes
2-room Flexi,Blk 450B,Indian/ Other Races,#06:1,"$74,800 - $222,800",Important notes
2-room Flexi,Blk 452B,Indian/ Other Races,#12:1,"$74,800 - $222,800",Important notes
2-room Flexi,Blk 450B,Malay,#06:1,"$74,800 - $222,800",Important notes
2-room Flexi,Blk 452B,Malay,#12:1,"$74,800 - $222,800",Important notes
4-room,Blk 450A,Chinese,#03:1; #13:1,"$392,800 - $443,300",Important notes
4-room,Blk 451A,Chinese,#03:1; #04:1; #08:1,"$392,800 - $443,300",Important notes
4-room,Blk 451B,Chinese,#07:1; #15:1,"$392,800 - $443,300",Important notes
4-room,Blk 451C,Chinese,#07:1,"$392,800 - $443,300",Important notes
4-room,Blk 452A,Chinese,#10:1,"$392,800 - $443,300",Important notes
4-room,Blk 450A,Indian/ Other Races,#03:1; #13:1,"$392,800 - $443,300",Important notes
4-room,Blk 451A,Indian/ Other Races,#03:1; #04:1; #08:1,"$392,800 - $443,300",Important notes
4-room,Blk 451B,Indian/ Other Races,#07:1; #15:1,"$392,800 - $443,300",Important notes
4-room,Blk 451C,Indian/ Other Races,#07:1,"$392,800 - $443,300",Important notes
4-room,Blk 452A,Indian/ Other Races,#10:1,"$392,800 - $443,300",Important notes
4-room,Blk 451A,Malay,#03:1; #04:1; #08:1,"$392,800 - $443,300",Important notes
4-room,Blk 451B,Malay,#07:1; #15:1,"$392,800 - $443,300",Important notes
4-room,Blk 451C,Malay,#07:1,"$392,800 - $443,300",Important notes
5-room,Blk 451A,Chinese,#03:1; #13:1; #15:1,"$507,000 - $568,000",Important notes
5-room,Blk 451B,Chinese,#09:1; #14:1,"$507,000 - $568,000",Important notes
5-room,Blk 451C,Chinese,#13:1,"$507,000 - $568,000",Important notes
5-room,Blk 452A,Chinese,#02:1,"$507,000 - $568,000",Important notes
5-room,Blk 451A,Indian/ Other Races,#03:1; #13:1; #15:1,"$507,000 - $568,000",Important notes
5-room,Blk 451B,Indian/ Other Races,#09:1; #14:1,"$507,000 - $568,000",Important notes
5-room,Blk 451C,Indian/ Other Races,#13:1,"$507,000 - $568,000",Important notes
5-room,Blk 452A,Indian/ Other Races,#02:1,"$507,000 - $568,000",Important notes
5-room,Blk 451A,Malay,#03:1; #13:1; #15:1,"$507,000 - $568,000",Important notes
5-room,Blk 451B,Malay,#09:1; #14:1,"$507,000 - $568,000",Important notes
5-room,Blk 451C,Malay,#13:1,"$507,000 - $568,000",Important notes
