project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 337A,#09:1,1,"$68,900 - $199,900"
Important notes,2-room Flexi,Indian/ Other Races,Blk 337A,#09:1,1,"$68,900 - $199,900"
Important notes,2-room Flexi,Malay,Blk 337A,#09:1,1,"$68,900 - $199,900"
Important notes,3-room,Chinese,Blk 337A,#15:1,1,"$218,000 - $351,700"
Important notes,3-room,Indian/ Other Races,Blk 337A,#15:1,1,"$218,000 - $351,700"
Important notes,3-room,Malay,Blk 337A,#15:1,1,"$218,000 - $351,700"
Important notes,4-room,Chinese,"Blk 338B, Blk 339A",#03:1; #11:1,2,"$399,100 - $423,500"
Important notes,4-room,Indian/ Other Races,"Blk 338B, Blk 339A",#03:1; #11:1,2,"$399,100 - $423,500"
Important notes,4-room,Malay,"Blk 338B, Blk 339A",#03:1; #11:1,2,"$399,100 - $423,500"
Important notes,5-room,Chinese,"Blk 338B, Blk 338C",#04:1; #06:1; #09:1; #15:1,4,"$522,300 - $570,600"
Important notes,5-room,Indian/ Other Races,"Blk 338B, Blk 338C",#04:1; #06:1; #09:1; #15:1,4,"$522,300 - $570,600"
Important notes,5-room,Malay,"Blk 338B, Blk 338C",#04:1; #06:1; #09:1; #15:1,4,"$522,300 - $570,600"
