flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 337A,Chinese,#09:1,"$68,900 - $199,900",Important notes
2-room Flexi,Blk 337A,Indian/ Other Races,#09:1,"$68,900 - $199,900",Important notes
2-room Flexi,Blk 337A,Malay,#09:1,"$68,900 - $199,900",Important notes
3-room,Blk 337A,Chinese,#15:1,"$218,000 - $351,700",Important notes
3-room,Blk 337A,Indian/ Other Races,#15:1,"$218,000 - $351,700",Important notes
3-room,Blk 337A,Malay,#15:1,"$218,000 - $351,700",Important notes
4-room,Blk 338B,Chinese,#03:1,"$399,100 - $423,500",Important notes
4-room,Blk 339A,Chinese,#11:1,"$399,100 - $423,500",Important notes
4-room,Blk 338B,Indian/ Other Races,#03:1,"$399,100 - $423,500",Important notes
4-room,Blk 339A,Indian/ Other Races,#11:1,"$399,100 - $423,500",Important notes
4-room,Blk 338B,Malay,#03:1,"$399,100 - $423,500",Important notes
4-room,Blk 339A,Malay,#11:1,"$399,100 - $423,500",Important notes
5-room,Blk 338B,Chinese,#04:1; #09:1; #15:1,"$522,300 - $570,600",Important notes
5-room,Blk 338C,Chinese,#06:1,"$522,300 - $570,600",Important notes
5-room,Blk 338B,Indian/ Other Races,#04:1; #09:1; #15:1,"$522,300 - $570,600",Important notes
5-room,Blk 338C,Indian/ Other Races,#06:1,"$522,300 - $570,600",Important notes
5-room,Blk 338B,Malay,#04:1; #09:1; #15:1,"$522,300 - $570,600",Important notes
5-room,Blk 338C,Malay,#06:1,"$522,300 - $570,600",Important notes
